cohort	repeat	seed	method	adjustment	n_donors	n_cases	roc_auc	pr_auc	brier	ece_10bin
GSE174188_CD4	1	20260801	geneformer	unadjusted	261	162	0.9797979797979798	0.9855973395415684	0.0507148125488519	0.0379695603295006
GSE174188_CD4	1	20260801	geneformer	residual_batch	261	162	0.721224591594962	0.8290223524781075	0.2215885548000463	0.125435413597218
GSE174188_CD4	1	20260801	hvg_pseudobulk	unadjusted	261	162	0.9734380845491956	0.984740484683606	0.0677645288901681	0.0735430164484923
GSE174188_CD4	1	20260801	hvg_pseudobulk	residual_batch	261	162	0.7507170470133433	0.8540831361689718	0.2197797373102929	0.1261978878915391
GSE174188_CD4	1	20260801	pca_pseudobulk	unadjusted	261	162	0.9750592343184936	0.9846389350980932	0.0851503260384957	0.1236855786085194
GSE174188_CD4	1	20260801	pca_pseudobulk	residual_batch	261	162	0.7404289811697219	0.8484097915175233	0.2214363386316085	0.1215928100231677
GSE174188_CD4	1	20260801	covariates_batch	covariates_only	261	162	0.91738371368001	0.9431654275549513	0.1045626591111956	0.0937114169676621
GSE174188_CD4	1	20260801	covariates_qc	covariates_only	261	162	0.7881905474498067	0.8765615834735216	0.1869386390169753	0.1098044732875312
GSE174188_CD4	1	20260801	covariates_demographic	covariates_only	261	162	0.6662613792243421	0.7375702182523972	0.2345682820481247	0.1341448118386867
GSE174188_CD4	1	20260801	covariates_all	covariates_only	261	162	0.949307893752338	0.9656707945533743	0.0889592474156345	0.0544252210234939
GSE174188_CD4	2	20260802	geneformer	unadjusted	261	162	0.9783638857712932	0.98398203745354	0.0558795133929314	0.0482949105157875
GSE174188_CD4	2	20260802	geneformer	residual_batch	261	162	0.7157999750592343	0.8270013348847003	0.2175197518934312	0.1281783732183701
GSE174188_CD4	2	20260802	hvg_pseudobulk	unadjusted	261	162	0.9789874049133308	0.9856491291850727	0.0617863134270369	0.0755062123857055
GSE174188_CD4	2	20260802	hvg_pseudobulk	residual_batch	261	162	0.7490335453298417	0.8520260548233295	0.2195919754713974	0.1252499405175401
GSE174188_CD4	2	20260802	pca_pseudobulk	unadjusted	261	162	0.9801097393689986	0.9879889153647746	0.0825894614544021	0.1328062978890035
GSE174188_CD4	2	20260802	pca_pseudobulk	residual_batch	261	162	0.7363137548322733	0.8454379563360397	0.2216159610426614	0.1233164675927597
GSE174188_CD4	2	20260802	covariates_batch	covariates_only	261	162	0.918443696221474	0.9456194135837722	0.1035322496139064	0.0663853771778317
GSE174188_CD4	2	20260802	covariates_qc	covariates_only	261	162	0.7894999376480858	0.8750483965900597	0.1866321719217502	0.1014253528777268
GSE174188_CD4	2	20260802	covariates_demographic	covariates_only	261	162	0.6635178949993765	0.7263771202690046	0.2372525840975463	0.139512434048237
GSE174188_CD4	2	20260802	covariates_all	covariates_only	261	162	0.9530490086045642	0.9664742770889948	0.0835975065291111	0.0455750891073457
GSE174188_CD4	3	20260803	geneformer	unadjusted	261	162	0.988028432472877	0.9921817436861528	0.0485889688294562	0.0472770944924451
GSE174188_CD4	3	20260803	geneformer	residual_batch	261	162	0.7002119965082928	0.8161457908117489	0.2230239772494642	0.120299837770879
GSE174188_CD4	3	20260803	hvg_pseudobulk	unadjusted	261	162	0.975745105374735	0.98559953456567	0.0611098434572002	0.0748187306641206
GSE174188_CD4	3	20260803	hvg_pseudobulk	residual_batch	261	162	0.7432971692230952	0.8487200630406243	0.2210154208761752	0.1270543372093126
GSE174188_CD4	3	20260803	pca_pseudobulk	unadjusted	261	162	0.9771791994014216	0.9858825091108544	0.0806833892584877	0.1164399608087217
GSE174188_CD4	3	20260803	pca_pseudobulk	residual_batch	261	162	0.731076194039157	0.8409787471354835	0.2231329118335434	0.1300642661158471
GSE174188_CD4	3	20260803	covariates_batch	covariates_only	261	162	0.9218418755455792	0.9494104029181578	0.1029026572840191	0.0584600292905708
GSE174188_CD4	3	20260803	covariates_qc	covariates_only	261	162	0.7842000249407657	0.8722278734048383	0.1884309556843517	0.1134967655410902
GSE174188_CD4	3	20260803	covariates_demographic	covariates_only	261	162	0.6541651078688115	0.7292199432549891	0.2369049676556408	0.1324715713814853
GSE174188_CD4	3	20260803	covariates_all	covariates_only	261	162	0.9547325102880658	0.9702516266275524	0.0840641444814454	0.0537260641450611
GSE174188_CD4	4	20260804	geneformer	unadjusted	261	162	0.9808579623394438	0.9884311770649772	0.0625792407663355	0.0695479021205365
GSE174188_CD4	4	20260804	geneformer	residual_batch	261	162	0.7173587729143285	0.821737713053452	0.2172808737033404	0.1170266693772791
GSE174188_CD4	4	20260804	hvg_pseudobulk	unadjusted	261	162	0.973375732634992	0.9837897249277084	0.0688235545338974	0.0773606030087553
GSE174188_CD4	4	20260804	hvg_pseudobulk	residual_batch	261	162	0.7492206010724529	0.8523164874633069	0.2200011228665605	0.1389865493434171
GSE174188_CD4	4	20260804	pca_pseudobulk	unadjusted	261	162	0.9693852101259508	0.9811240727258898	0.0831061222746695	0.1082669631955659
GSE174188_CD4	4	20260804	pca_pseudobulk	residual_batch	261	162	0.7373113854595336	0.844463439074967	0.2221866409361907	0.135657739023415
