cohort	block	n_donor	n_case	n_design_feature	I_D	I_D_cv	I_D_null_mean	I_D_vs_null	p_I_D	design_auc_linear	design_auc_rf	disease_auc	observed_frozen_auc	p_standard	p_design_preserving	n_strata	degenerate	degenerate_reason	underpowered	underpowered_reason
COMBAT_CROSS	qc	111	100	4	0.5372	0.7009	0.9637	-0.4264	0.005	0.9136	0.9033	0.8971	0.6527	0.10689	0.93806	2	True	tuned AUC 0.897 vs frozen 0.653 differ by >0.20 (overfitting)	True	minority class 11 below 15
COMBAT_CROSS	demographic	111	100	2	0.9863	1.0	0.9823	0.0039	0.4726	0.5039	0.4853	0.8971	0.6527	0.10689	0.93806	2	True	tuned AUC 0.897 vs frozen 0.653 differ by >0.20 (overfitting)	True	minority class 11 below 15
COMBAT_CROSS	batch	111	100	1	0.1708	0.1938	0.9912	-0.8204	0.005	0.9835	0.9835	0.8971	0.6527	0.10689	0.93806	2	True	tuned AUC 0.897 vs frozen 0.653 differ by >0.20 (overfitting)	True	minority class 11 below 15
COMBAT_CROSS	all	111	100	7	0.1432	0.1861	0.9379	-0.7947	0.005	0.9898	0.9945	0.8971	0.6527	0.10689	0.93806	2	True	tuned AUC 0.897 vs frozen 0.653 differ by >0.20 (overfitting)	True	minority class 11 below 15
