variant	adjustment	repeat	seed	roc_auc	pr_auc	brier
raw_proportions	unadjusted	1	20260801	0.901390447686744	0.91567879966733	0.19928860168410484
raw_proportions	residual_processing_wave	1	20260801	0.7263686245167726	0.8250992677951916	0.21524471621656793
raw_proportions	unadjusted	2	20260802	0.8884836014465644	0.9087759160547723	0.16610315990215602
raw_proportions	residual_processing_wave	2	20260802	0.72069460032423	0.8255885956149867	0.21592514797380005
raw_proportions	unadjusted	3	20260803	0.8982728519765556	0.9193069990980192	0.21453725613950436
raw_proportions	residual_processing_wave	3	20260803	0.7304214989400175	0.8310979477546478	0.21257296556922828
raw_proportions	unadjusted	4	20260804	0.891507669285447	0.9187488341045842	0.16882645095347829
raw_proportions	residual_processing_wave	4	20260804	0.7189799226836264	0.8177764951704428	0.22741817204688583
raw_proportions	unadjusted	5	20260805	0.8999875296171592	0.9177849141876331	0.16395267342322983
raw_proportions	residual_processing_wave	5	20260805	0.7135553061478986	0.8040261515018963	0.22276405413624328
raw_proportions	unadjusted	6	20260806	0.9207195410899114	0.9336072177122406	0.12527409260579683
raw_proportions	residual_processing_wave	6	20260806	0.6762376854969449	0.7692888807019661	0.2296983068160523
raw_proportions	unadjusted	7	20260807	0.8958099513655069	0.9184377707319142	0.1670510532541793
raw_proportions	residual_processing_wave	7	20260807	0.718294051627385	0.8137468233998182	0.22376155741128895
raw_proportions	unadjusted	8	20260808	0.8985534355904727	0.9213461576330998	0.14313450555211135
raw_proportions	residual_processing_wave	8	20260808	0.7174211248285323	0.8256974146318301	0.2219481332820602
raw_proportions	unadjusted	9	20260809	0.8868936276343684	0.9130167080161807	0.19546479443481202
raw_proportions	residual_processing_wave	9	20260809	0.7071330589849107	0.8148382635196582	0.22421846363494827
raw_proportions	unadjusted	10	20260810	0.9027310138421248	0.9242008864386397	0.15269462733603792
raw_proportions	residual_processing_wave	10	20260810	0.7050754458161865	0.8009027961895281	0.22002461240732293
raw_proportions	unadjusted	11	20260811	0.8883588976181568	0.9114073915990089	0.1700862406765464
raw_proportions	residual_processing_wave	11	20260811	0.6808517271480234	0.7651912670191221	0.2455082109347688
raw_proportions	unadjusted	12	20260812	0.8824042898116973	0.9106578404622324	0.18438313765449024
raw_proportions	residual_processing_wave	12	20260812	0.7200399052250904	0.8045307512613469	0.23284455701665238
raw_proportions	unadjusted	13	20260813	0.9022945504426986	0.9252260018065717	0.1416645636866719
