cohort	method	repeat_index	seed	auc	n_success
GSE174188_CD4	scgpt_mean	0	3046023904	0.9719416386083052	261
GSE174188_CD4	scgpt_mean	1	1851505900	0.9779897742860706	261
GSE174188_CD4	scgpt_mean	2	38056049	0.9790497568275346	261
GSE174188_CD4	scgpt_mean	3	2877599489	0.9764933283451802	261
GSE174188_CD4	scgpt_mean	4	1156529957	0.9676393565282454	261
GSE174188_CD4	scgpt_mean	5	3395270609	0.9778027185434592	261
GSE174188_CD4	scgpt_mean	6	2175179604	0.9710063598952487	261
GSE174188_CD4	scgpt_mean	7	1435553263	0.9769297917446066	261
GSE174188_CD4	scgpt_mean	8	3032114606	0.9797979797979798	261
GSE174188_CD4	scgpt_mean	9	86568957	0.9721910462651204	261
GSE174188_CD4	scgpt_mean	10	506879768	0.9802344431974062	261
GSE174188_CD4	scgpt_mean	11	208852552	0.9763686245167726	261
GSE174188_CD4	scgpt_mean	12	3728823830	0.973063973063973	261
GSE174188_CD4	scgpt_mean	13	3711191794	0.978426237685497	261
GSE174188_CD4	scgpt_mean	14	1186603825	0.976555680259384	261
GSE174188_CD4	scgpt_mean	15	526519220	0.9779274223718668	261
GSE174188_CD4	scgpt_mean	16	2585064180	0.9810450180820552	261
GSE174188_CD4	scgpt_mean	17	3319420069	0.9820426487093152	261
GSE174188_CD4	scgpt_mean	18	585133877	0.9816685372240928	261
GSE174188_CD4	scgpt_mean	19	3864051865	0.9773662551440327	261
GSE174188_CD4	scgpt_mean	20	2726654858	0.9727522134929544	261
GSE174188_CD4	scgpt_mean	21	3024568490	0.9751839381469012	261
GSE174188_CD4	scgpt_mean	22	1677336761	0.9798603317121836	261
GSE174188_CD4	scgpt_mean	23	3094259572	0.9779274223718668	261
GSE174188_CD4	scgpt_mean	24	1667539671	0.9789874049133308	261
GSE174188_CD4	scgpt_mean	25	3199187709	0.9817932410525004	261
GSE174188_CD4	scgpt_mean	26	2796730535	0.9791121087417384	261
GSE174188_CD4	scgpt_mean	27	1814596188	0.9809203142536476	261
GSE174188_CD4	scgpt_mean	28	1523991474	0.9784885895997006	261
GSE174188_CD4	scgpt_mean	29	3730144923	0.9798603317121836	261
GSE174188_CD4	kme_multiscale_scgpt	0	3046023904	0.9643347050754458	261
GSE174188_CD4	kme_multiscale_scgpt	1	1851505900	0.974934530490086	261
GSE174188_CD4	kme_multiscale_scgpt	2	38056049	0.9725028058361392	261
GSE174188_CD4	kme_multiscale_scgpt	3	2877599489	0.9731886768923806	261
GSE174188_CD4	kme_multiscale_scgpt	4	1156529957	0.9708193041526376	261
GSE174188_CD4	kme_multiscale_scgpt	5	3395270609	0.9763686245167726	261
GSE174188_CD4	kme_multiscale_scgpt	6	2175179604	0.9670781893004116	261
GSE174188_CD4	kme_multiscale_scgpt	7	1435553263	0.9719416386083052	261
GSE174188_CD4	kme_multiscale_scgpt	8	3032114606	0.9682005237560792	261
GSE174188_CD4	kme_multiscale_scgpt	9	86568957	0.9705698964958224	261
GSE174188_CD4	kme_multiscale_scgpt	10	506879768	0.974435715176456	261
GSE174188_CD4	kme_multiscale_scgpt	11	208852552	0.9731886768923806	261
GSE174188_CD4	kme_multiscale_scgpt	12	3728823830	0.9716922309514904	261
GSE174188_CD4	kme_multiscale_scgpt	13	3711191794	0.9747474747474748	261
GSE174188_CD4	kme_multiscale_scgpt	14	1186603825	0.970133433096396	261
GSE174188_CD4	kme_multiscale_scgpt	15	526519220	0.9725651577503428	261
GSE174188_CD4	kme_multiscale_scgpt	16	2585064180	0.9763686245167726	261
GSE174188_CD4	kme_multiscale_scgpt	17	3319420069	0.9783638857712932	261
GSE174188_CD4	kme_multiscale_scgpt	18	585133877	0.9821050006235192	261
GSE174188_CD4	kme_multiscale_scgpt	19	3864051865	0.9793615163985534	261
GSE174188_CD4	kme_multiscale_scgpt	20	2726654858	0.9784262376854967	261
GSE174188_CD4	kme_multiscale_scgpt	21	3024568490	0.9726898615787504	261
GSE174188_CD4	kme_multiscale_scgpt	22	1677336761	0.9746227709190672	261
GSE174188_CD4	kme_multiscale_scgpt	23	3094259572	0.9774286070582366	261
GSE174188_CD4	kme_multiscale_scgpt	24	1667539671	0.9821673525377228	261
GSE174188_CD4	kme_multiscale_scgpt	25	3199187709	0.98079561042524	261
GSE174188_CD4	kme_multiscale_scgpt	26	2796730535	0.979486220226961	261
