dataset_id	model	max_len	sample_cap	source	n_donors	n_case	n_control	auc	pr_auc	brier	ece	method	metrics_path
SLE_GSE174188_CD4	104M	2048	1000	Dgrid	261	162	99	0.9775533109	0.9859352114	0.0674239957	0.082649667	geneformer_v2_104m_cell_sample1000_clspool_logistic_Dgrid_104m_sample1000_maxlen2048_20260709	/root/autodl-tmp/RheumLens_continue_20260709/results/D_model_scale_maxlen_grid/06_metrics/auc/SLE_GSE174188_CD4/geneformer_v2_104m_cell_sample1000_clspool_logistic_Dgrid_104m_sample1000_maxlen2048_20260709/metrics.json
SLE_GSE174188_CD4	316M	4096	1000	existing	261	162	99	0.9773662551	0.9856584063	0.0651468074	0.067886686	geneformer_v2_316m_cell_sample1000_clspool_logistic_maxlen4096	/autodl-fs/data/PatientRepBench/06_metrics/auc/SLE_GSE174188_CD4/geneformer_v2_316m_cell_sample1000_clspool_logistic_maxlen4096/metrics.json
SLE_GSE285773_CD4	104M	2048	1000	Dgrid	26	16	10	0.975	0.9875	0.1048452033	0.2393698262	geneformer_v2_104m_cell_sample1000_clspool_logistic_Dgrid_104m_sample1000_maxlen2048_20260709	/root/autodl-tmp/RheumLens_continue_20260709/results/D_model_scale_maxlen_grid/06_metrics/auc/SLE_GSE285773_CD4/geneformer_v2_104m_cell_sample1000_clspool_logistic_Dgrid_104m_sample1000_maxlen2048_20260709/metrics.json
SLE_GSE285773_CD4	104M	4096	1000	Dgrid	26	16	10	0.9625	0.9829545455	0.1087944419	0.2414382217	geneformer_v2_104m_cell_sample1000_clspool_logistic_Dgrid_104m_sample1000_maxlen4096_20260709	/root/autodl-tmp/RheumLens_continue_20260709/results/D_model_scale_maxlen_grid/06_metrics/auc/SLE_GSE285773_CD4/geneformer_v2_104m_cell_sample1000_clspool_logistic_Dgrid_104m_sample1000_maxlen4096_20260709/metrics.json
SLE_GSE285773_CD4	316M	2048	1000	Dgrid	26	16	10	0.93125	0.9624255952	0.1078866305	0.1165484704	geneformer_v2_316m_cell_sample1000_clspool_logistic_Dgrid_316m_sample1000_maxlen2048_20260709	/root/autodl-tmp/RheumLens_continue_20260709/results/D_model_scale_maxlen_grid/06_metrics/auc/SLE_GSE285773_CD4/geneformer_v2_316m_cell_sample1000_clspool_logistic_Dgrid_316m_sample1000_maxlen2048_20260709/metrics.json
SLE_GSE285773_CD4	316M	4096	1000	existing	26	16	10	0.93125	0.9624255952	0.1088436258	0.1206066999	geneformer_v2_316m_cell_sample1000_clspool_logistic_maxlen4096	/autodl-fs/data/PatientRepBench/06_metrics/auc/SLE_GSE285773_CD4/geneformer_v2_316m_cell_sample1000_clspool_logistic_maxlen4096/metrics.json
