dataset_id	n_donors	n_case	n_control	auc_500	auc_1000	delta_auc_1000_minus_500	delta_auc_boot_ci_low	delta_auc_boot_ci_high	paired_delong_p	score_spearman_rho	score_spearman_p	embedding_cosine_median	embedding_cosine_iqr_low	embedding_cosine_iqr_high	n_cells_used_500	n_cells_used_1000	same_donors_labels_and_folds	paired_delong_p_bh	paired_delong_bh_significant_0_05
SLE_GSE135779	44	33	11	0.8870523415977961	0.9118457300275482	0.024793388429752095	0.0027548209366391463	0.05509641873278248	0.04108345579019798	0.9892882311486962	9.81589943681808e-37	0.9999524381921224	0.9999369514215357	0.9999623480522599	22000	44000	True	0.12325036737059394	False
SLE_GSE174188_CD4	261	162	99	0.9767427360019952	0.977366255144033	0.0006235191420377317	-0.0019344681381718459	0.0035540591096147045	0.6350985725402942	0.9985212032856151	0.0	0.9999885815952501	0.9999809833062158	0.9999943776038716	127129	227504	True	0.6916149453577086	False
SLE_GSE285773_CD4	26	16	10	0.925	0.93125	0.006249999999999978	-0.03125	0.04999999999999993	0.6916149453577086	0.995213675213675	9.313942033366669e-26	0.999963837262695	0.9999534901556226	0.9999718532104981	13000	26000	True	0.6916149453577086	False
