direction	target_dataset	baseline_method_id	comparison	n_target	baseline_auc	geneformer_auc	delta_geneformer_minus_baseline	delong_standard_error	delong_z	delong_p	delong_p_bh_across_four_tests
SLE_GSE174188_CD4_to_SLE_GSE285773_CD4	SLE_GSE285773_CD4	source_hvg_pseudobulk	Frozen Geneformer vs source_hvg_pseudobulk on identical target donors	26	0.94375	0.9	-0.043749999999999956	0.06358775650844885	-0.6880255319935203	0.49143670323464334	0.49143670323464334
SLE_GSE174188_CD4_to_SLE_GSE285773_CD4	SLE_GSE285773_CD4	source_pca_pseudobulk	Frozen Geneformer vs source_pca_pseudobulk on identical target donors	26	0.98125	0.9	-0.08124999999999993	0.04634187571133094	-1.7532738749315167	0.07955500764314231	0.10607334352418975
SLE_GSE285773_CD4_to_SLE_GSE174188_CD4	SLE_GSE174188_CD4	source_hvg_pseudobulk	Frozen Geneformer vs source_hvg_pseudobulk on identical target donors	261	0.9190672153635117	0.8839630876667913	-0.03510412769672033	0.013142737420373826	-2.670990568700097	0.007562777170097438	0.015125554340194877
SLE_GSE285773_CD4_to_SLE_GSE174188_CD4	SLE_GSE174188_CD4	source_pca_pseudobulk	Frozen Geneformer vs source_pca_pseudobulk on identical target donors	261	0.9263000374111485	0.8839630876667913	-0.0423369497443572	0.011170884117864655	-3.7899372419996085	0.00015068535065935993	0.0006027414026374397
