level	fold	bandwidth_info	offdiag_q01	offdiag_q50	offdiag_q99	effective_rank	feature_norm_cellcount_corr
25	0	7.606534957885742				2.8384780883789062	0
25	1	7.611453056335449				2.7721314430236816	0
25	2	7.607866287231445				2.679168939590454	0
25	3	7.594008445739746				2.735107660293579	0
25	4	7.61918830871582				2.708749294281006	0
50	0	7.588487148284912				2.7778451442718506	0
50	1	7.594779014587402				2.658456802368164	0
50	2	7.580845355987549				2.720944881439209	0
50	3	7.586885929107666				2.74067759513855	0
50	4	7.602001190185547				2.7426652908325195	0
100	0	7.582431793212891				2.6240968704223633	0
100	1	7.553966522216797				2.627696990966797	0
100	2	7.553211212158203				2.689030408859253	0
100	3	7.613164901733398				2.684497117996216	0
100	4	7.586010932922363				2.7682509422302246	0
200	0	7.600166320800781				2.829411745071411	0
200	1	7.562028884887695				2.7804882526397705	0
200	2	7.59809684753418				2.599787712097168	0
200	3	7.558411598205566				2.850527286529541	0
200	4	7.562499046325684				2.7248454093933105	0
500	0	7.618467330932617				2.6508917808532715	0
500	1	7.566004753112793				2.692478656768799	0
500	2	7.651739120483398				2.6864089965820312	0
500	3	7.58427619934082				2.5947303771972656	0
500	4	7.568330764770508				2.7500100135803223	0
