cohort	estimand	split_id	method_id	n_donors	roc_auc	pr_auc	brier	family	label
GSE174188_CD4	matched_500_cells_per_donor	0	attention_mil	261	0.9699463773537847	0.9843227969369416	0.0643768175237928	Learned pooling	Attention MIL
GSE174188_CD4	matched_500_cells_per_donor	0	cckme_u	261	0.969634617782766	0.9784637612327912	0.0635116003867429	Distribution summary	Count-calibrated KME
GSE174188_CD4	matched_500_cells_per_donor	0	cckme_u_weighted	261	0.9697593216111734	0.9793254962637826	0.0653614547773627	Distribution summary	Weighted calibrated KME
GSE174188_CD4	matched_500_cells_per_donor	0	deep_sets	261	0.9599700710811824	0.9772426205657018	0.0724293708015751	Learned pooling	Deep Sets
GSE174188_CD4	matched_500_cells_per_donor	0	donor_expression_pca	261	0.9856590597331338	0.9918289228631736	0.0544244395697412	Expression	Expression PCA
GSE174188_CD4	matched_500_cells_per_donor	0	donor_mean_hvg	261	0.983975558049632	0.990505732256811	0.0553413464420507	Expression	Mean-HVG pseudobulk
GSE174188_CD4	matched_500_cells_per_donor	0	donorclr	261	0.935465768799102	0.960400326014283	0.0963743994264889	Experimental	DonorCLR
GSE174188_CD4	matched_500_cells_per_donor	0	focus_lite	261	0.957912457912458	0.9735865995856006	0.0799372413800074	Experimental	FOCUS-lite
GSE174188_CD4	matched_500_cells_per_donor	0	gds	261	0.9463773537847612	0.9692295217157698	0.0907765230333072	Experimental	Graph donor signature
GSE174188_CD4	matched_500_cells_per_donor	0	kme_multiscale@scgpt	261	0.977865070457663	0.9864794311120084	0.0560974637932305	Distribution summary	Multiscale KME
GSE174188_CD4	matched_500_cells_per_donor	0	mixmil	261	0.9585359770544954	0.9758955363972912	0.095360405506704	Learned pooling	Mixture MIL
GSE174188_CD4	matched_500_cells_per_donor	0	moments_mean_var@scgpt	261	0.9665793739867814	0.964644185120644	0.0655424964319402	Distribution summary	Mean + variance
GSE174188_CD4	matched_500_cells_per_donor	0	prototype_histogram@scgpt	261	0.9467514652699838	0.962295057974542	0.0892165570224477	Distribution summary	Prototype histogram
GSE174188_CD4	matched_500_cells_per_donor	0	quantiles@scgpt	261	0.9601571268237936	0.965295124388904	0.0811388211465729	Distribution summary	Quantiles
GSE174188_CD4	matched_500_cells_per_donor	0	raw_pseudobulk	261	0.9879037286444694	0.9925937095403876	0.0542285289771424	Expression	Raw pseudobulk
GSE174188_CD4	matched_500_cells_per_donor	0	red	261	0.9392692355655318	0.964227410235557	0.0990998539865267	Experimental	Reference evidence decomposition
GSE174188_CD4	matched_500_cells_per_donor	0	scgpt_mean	261	0.9783638857712932	0.9876631018912676	0.0619888729879739	Frozen embedding	scGPT mean
GSE174188_CD4	matched_500_cells_per_donor	0	set_transformer	261	0.9542960468886394	0.975484659716758	0.0874464267820503	Learned pooling	Set Transformer
GSE174188_CD4	matched_500_cells_per_donor	0	tail_fractions@scgpt	261	0.9622147399925178	0.9680557321021512	0.0637258734399981	Distribution summary	Tail fractions
GSE174188_CD4	matched_500_cells_per_donor	0	topk_mil	261	0.9687616909839132	0.9822413746468304	0.0656366316681932	Learned pooling	Top-k MIL
GSE174188_CD4	matched_500_cells_per_donor	0	uder_kme@scgpt	261	0.5652201022571393	0.6698667325543737	0.3832920561256332	Distribution summary	Uncertainty KME
GSE174188_CD4	matched_500_cells_per_donor	0	uder_meanvar@scgpt	261	0.5523756079311634	0.6831991643389663	0.3683394829958142	Experimental	Uncertainty mean/variance
