cohort	block	n_donor	n_case	n_design_feature	I_D	design_auc_linear	design_auc_rf	disease_auc	observed_frozen_auc	p_standard	p_design_preserving	n_strata
SLE_GSE174188_CD4	qc	261	162	4	0.7702	0.7838	0.828	0.9747	0.9627	0.001	0.001	4
SLE_GSE174188_CD4	demographic	261	162	5	0.8485	0.6918	0.7247	0.9747	0.9627	0.001	0.001	4
SLE_GSE174188_CD4	batch	261	162	3	0.683	0.7682	0.7664	0.9747	0.9627	0.001	0.001	4
SLE_GSE174188_CD4	all	261	162	12	0.4872	0.9042	0.9118	0.9747	0.9627	0.001	0.001	4
CMV_HIHA	qc	108	45	4	0.9577	0.5096	0.4485	0.896	0.854	0.001	0.001	46
CMV_HIHA	demographic	108	45	5	0.8926	0.616	0.6038	0.896	0.854	0.001	0.001	46
CMV_HIHA	batch	108	45	80	0.6235	0.459	0.4893	0.896	0.854	0.001	0.001	46
CMV_HIHA	all	108	45	89	0.4683	0.4795	0.4945	0.896	0.854	0.001	0.001	46
COVID_STEPHENSON	qc	115	86	4	0.6043	0.8079	0.8322	0.9682	0.9391	0.001	0.001	3
COVID_STEPHENSON	demographic	115	86	2	0.8536	0.6725	0.6663	0.9682	0.9391	0.001	0.001	3
COVID_STEPHENSON	batch	115	86	2	0.9564	0.5582	0.549	0.9682	0.9391	0.001	0.001	3
COVID_STEPHENSON	all	115	86	8	0.5755	0.8014	0.8397	0.9682	0.9391	0.001	0.001	3
COMBAT_COVID	qc	110	100	4	0.8094	0.8894	0.8486	0.997	0.998	0.001	0.001	2
COMBAT_COVID	demographic	110	100	2	0.9987	0.3263	0.332	0.997	0.998	0.001	0.001	2
COMBAT_COVID	batch	110	100	1	0.9981	0.5128	0.5	0.997	0.998	0.001	0.001	2
COMBAT_COVID	all	110	100	7	0.8074	0.8456	0.8468	0.997	0.998	0.001	0.001	2
COMBAT_INFLUENZA	qc	21	11	4	0.0872	0.9709	1.0	0.9982	0.5455	0.41159		2
COMBAT_INFLUENZA	demographic	21	11	2	0.9216	0.42	0.3509	0.9982	0.5455	0.41159		2
COMBAT_INFLUENZA	batch	21	11	1	0.0	1.0	1.0	0.9982	0.5455	0.41159		2
COMBAT_INFLUENZA	all	21	11	7	0.0	1.0	1.0	0.9982	0.5455	0.41159		2
COMBAT_CROSS	qc	111	100	4	0.5372	0.9138	0.9082	0.8778	0.7255	0.04296	0.75824	2
COMBAT_CROSS	demographic	111	100	2	0.9863	0.4834	0.5009	0.8778	0.7255	0.04296	0.75824	2
COMBAT_CROSS	batch	111	100	1	0.1708	0.9835	0.9835	0.8778	0.7255	0.04296	0.75824	2
COMBAT_CROSS	all	111	100	7	0.1432	0.9878	0.9958	0.8778	0.7255	0.04296	0.75824	2
COVID_REN	qc	182	157	4	0.9762	0.6276	0.7612	0.9491	0.9664	0.001	0.001	2
COVID_REN	demographic	182	157	3	0.9478	0.6746	0.6518	0.9491	0.9664	0.001	0.001	2
COVID_REN	batch	182	157	1	0.9792	0.5529	0.5531	0.9491	0.9664	0.001	0.001	2
COVID_REN	all	182	157	8	0.877	0.758	0.8072	0.9491	0.9664	0.001	0.001	2
