block	r2_y_on_design	information_fraction	variance_inflation	design_rank	n_donors
batch	0.12121212121212122	0.8787878787878788	1.1379310344827587	6	44
collection_year	0.2196969696969696	0.7803030303030304	1.2815533980582523	4	44
qc	0.26760704532794166	0.7323929546720583	1.3653872468608976	7	44
demographic	0.405489282935215	0.594510717064785	1.682055463923669	7	44
all	0.7971668667985878	0.2028331332014122	4.930160986109727	21	44
