component	source_explained_variance	source_explained_variance_ratio
1	1294.9310237951818	0.3112814961046109
2	730.1134466193399	0.1755080400527259
3	436.78022950794383	0.10499524747787109
4	337.68795255281896	0.08117498859442762
5	204.29594141765537	0.04910960130232099
6	146.99597061445172	0.035335569859243195
7	129.66775290711217	0.031170132910363496
8	103.11590329579425	0.02478747675379669
9	88.4936014366753	0.021272500345354637
10	82.23075217451117	0.019767007734257488
11	65.99349410565245	0.01586382069847414
12	60.98352397438496	0.014659500955380997
13	54.13903070631607	0.013014190073633669
14	48.787696406617144	0.011727811636206042
15	48.400530411613644	0.011634742887407123
16	44.887438396286825	0.010790249614492023
17	41.73575465854632	0.010032633331381324
18	39.039672853889215	0.009384536743723366
19	36.36409260936675	0.00874136841571316
20	36.10517171162751	0.008679127815295073
21	34.68810167577631	0.008338485979753918
22	31.73421695866414	0.007628417538140416
23	27.888437971809903	0.006703951435531225
24	21.297402457251	0.005119567898377643
