feature_id	source_population_variance_log1p_cpm	source_mean_log1p_cpm	source_scale_log1p_cpm
RPS4Y1	8.26250171661377	1.573969474205604	2.874456825804082
XIST	6.234191417694092	4.545540216128127	2.496836277364375
TLE5	5.5034565925598145	5.496910535372221	2.345944709569641
EEF1G	4.603687286376953	6.407637279767257	2.1456205267584414
SEPTIN7	4.327157020568848	4.871695041656494	2.080181983928877
SEPTIN6	4.040434837341309	4.691866452877338	2.0100832791985797
PLAAT4	3.7898998260498047	4.5363287925720215	1.9467665149368076
PRKCQ-AS1	3.786341905593872	4.531310136501606	1.9458525090544316
LIME1	3.7500040531158447	4.893480571416708	1.93649274755967
RESF1	3.7159526348114014	4.477924805421096	1.9276806647373927
SNHG32	3.599318027496338	4.416995672079233	1.8971868798062679
DDX3Y	3.515777826309204	1.0286519201830602	1.8750407658958488
TOMM6	3.504455089569092	4.3858827994419975	1.8720189653007122
MICOS10	3.3651185035705566	4.288170172617986	1.8344259153742035
SEPTIN9	3.2859578132629395	4.240293942964994	1.8127211006310808
LINC-PINT	3.261723518371582	4.19872076694782	1.8060242285561097
IFI27	3.166562080383301	2.8943535616764655	1.7794836434719825
USP9Y	3.0846493244171143	0.9639319288186156	1.7563170054448347
SEPTIN1	2.9788007736206055	4.038763816540058	1.7259202495691741
RBIS	2.975299596786499	4.021296977996826	1.7249056487920067
UTY	2.8667562007904053	0.9277630457654595	1.6931498128811933
EIF1AY	2.8583133220672607	0.9323755360853213	1.69065472219692
MICOS13	2.7377090454101562	3.870944775067843	1.6546023732633146
CIAO2B	2.593113899230957	3.7395615119200487	1.6103148416610256
NME2	2.5119597911834717	5.229861273215367	1.5849163651146352
SEPTIN2	2.379173517227173	3.580547039325421	1.5424569653544777
NCBP2AS2	2.2837982177734375	3.5294454189447255	1.5112240869002849
SHFL	2.2340335845947266	3.462845123731173	1.4946684060244315
MUC20-OT1	2.231812000274658	0.6365768267558172	1.493925002347042
FAM174C	2.2149546146392822	3.477209989841168	1.488272360836183
ATP6V0C	2.210695743560791	4.110725327179982	1.4868408503289572
RO60	2.1469345092773438	3.42473552777217	1.465242128956833
IFI44L	2.1176419258117676	4.1233411110364475	1.4552120037749676
HLA-DRB5	2.069740056991577	1.7250754571734712	1.4386591336049166
TASOR	2.0173933506011963	3.311431747216445	1.4203496884382079
HBB	1.9913463592529297	0.6187202823706545	1.4111507139803832
SCGB3A1	1.9728561639785767	0.9703370252480874	1.4045839970236587
TMEM35B	1.9596410989761353	3.248546988201829	1.3998718246658421
FAM153CP	1.9553381204605103	3.16021821132073	1.3983340538407698
TUG1	1.9234163761138916	3.229169111985427	1.3868728918017894
MTLN	1.885930061340332	3.171027660369873	1.3732916865782208
LYZ	1.8563414812088013	2.492821060694181	1.362476236429158
NIBAN1	1.8435118198394775	2.915502832486079	1.357759843991703
IFIT3	1.814633846282959	2.518078068127999	1.3470834584189624
PRORP	1.7538172006607056	3.095954564901499	1.3243176342181116
S100A8	1.7316747903823853	1.4595228078273625	1.315931127421096
TRAPPC5	1.7017793655395508	4.152406683334937	1.3045226784327657
KDM5D	1.6972564458847046	0.7123231337620661	1.3027879407044864
HEXD	1.651418685913086	2.990106380902804	1.2850753562150365
S100A9	1.6417630910873413	2.3903780579566956	1.2813130385343066
CZIB	1.6351872682571411	2.989802177135761	1.2787443938915282
COA8	1.620147705078125	2.973937749862671	1.2728502244730988
ZFY	1.6054750680923462	0.6982345179869578	1.2670734337272307
CERT1	1.5863375663757324	2.924570477925814	1.2594989442673847
TASOR2	1.5776782035827637	2.9183321457642775	1.2560565862834763
GET3	1.5737375020980835	2.8945215206879835	1.2544869404861743
PTP4A1	1.5002447366714478	0.6831687227464639	1.2248447739366075
WAKMAR2	1.4661297798156738	2.743188032737145	1.2108384647526858
ZNRD2	1.4654262065887451	2.8034011217264028	1.2105478732463784
PLSCR3	1.463079810142517	3.47058449112452	1.2095783520793808
PCBP1-AS1	1.434404969215393	2.779790456478412	1.1976664711764198
CIAO2A	1.4306741952896118	2.772537451524001	1.1961079303037865
GABARAP	1.4188786745071411	4.866354525089264	1.1911669557376139
NUP42	1.4027022123336792	2.730282737658574	1.1843572853966595
DENND10	1.4019144773483276	2.7127302334858823	1.1840246984262763
DMAC2L	1.3937009572982788	2.7612540355095496	1.180551130966796
RAB30-DT	1.3611034154891968	2.7121546360162587	1.166663384914691
SNHG30	1.3387925624847412	2.6957745918860803	1.1570620193487406
SLC66A3	1.3384814262390137	2.6475529212218065	1.1569275692930434
ARHGEF18	1.3264611959457397	3.0144003205574474	1.1517209654724252
CST3	1.318320870399475	2.272948157328826	1.148181557832796
TRIM52-AS1	1.3100230693817139	2.6405504575142493	1.1445623684702644
UPK3BL1	1.299668550491333	3.101511735182542	1.1400300506279561
IFIT1	1.295910358428955	2.2496165403952966	1.1383806050337328
GNG10	1.2914409637451172	3.28426001392878	1.1364158585141892
OAS1	1.281983494758606	2.917335496498988	1.1322470760301175
DENND11	1.2649409770965576	2.603741554113535	1.1246959726580046
ANTKMT	1.2574249505996704	2.5597764528714695	1.1213495953246784
SEPTIN11	1.247183918952942	2.5128294137807994	1.1167739034934407
TYROBP	1.230790138244629	1.711604016331526	1.1094098161266512
TPT1-AS1	1.2288243770599365	2.5549172438108005	1.1085235308866757
RELCH	1.212809443473816	2.5469653514715342	1.10127630397161
FMN1	1.2057652473449707	1.9875624242883463	1.0980734221453579
GZMH	1.2022544145584106	2.203823220271331	1.0964736040590186
NR4A2	1.1950294971466064	3.2713135068233195	1.0931740345366017
RSAD2	1.1906983852386475	2.4733398304535794	1.0911912618243396
FCN1	1.185373067855835	1.205198486550496	1.088748417582882
ILRUN	1.1841084957122803	2.5162060260772705	1.0881675128722341
HBA2	1.1718934774398804	0.3568925858260347	1.0825402808166564
COA6-AS1	1.1694464683532715	2.480673524049612	1.0814094718609266
PWWP3A	1.1666646003723145	2.496256947517395	1.0801224753676846
RPS26	1.1483482122421265	7.35244318155142	1.0716101084036032
POLR2J3	1.126713514328003	4.591882164661701	1.061467644435567
MRPS24	1.1158801317214966	4.03447989317087	1.0563522694048852
RPL17	1.1150010824203491	7.988296031951904	1.0559361283180009
ZGPAT	1.0928727388381958	2.971819655253337	1.045405562538967
FOS	1.0872056484222412	5.687211238420927	1.042691535540496
CISH	1.0819612741470337	3.2310039401054382	1.0401736482667625
SLC66A2	1.079877257347107	2.425028764284574	1.039171440330779
TSIX	1.074637770652771	1.930853608995676	1.036647376396794
EGLN2	1.074240803718567	3.4073758790126214	1.036455870382206
SOX4	1.0648616552352905	3.2720973583368154	1.0319213561189626
GIHCG	1.0527769327163696	2.361177004300631	1.0260491664287377
PRXL2C	1.0451382398605347	2.3171934072787943	1.0223200216140444
CFAP410	1.0426766872406006	2.3742319895670962	1.0211154354001133
UBE2V1	1.0323536396026611	4.481922012109023	1.0160480292225031
UTS2	1.027559518814087	1.6257990782077496	1.0136861312770722
FCGR3A	1.0251158475875854	1.0694452373740764	1.0124800238892775
RNASEK	1.0242575407028198	5.084548134070176	1.0120561163201562
BOLA2	1.01876962184906	2.669177921918722	1.0093411922535604
RBAK-RBAKDN	1.0176374912261963	0.42954432047330415	1.0087801779035592
SERPINA1	1.0169144868850708	0.7928544414731172	1.0084217765980419
FGFBP2	1.01336669921875	1.7491762552123804	1.0066611462375585
DLEU1	1.0061513185501099	2.3161046229876003	1.0030709152761188
KRT1	1.005865454673767	1.2598291042332466	1.002928413665031
CPA5	0.9961631298065186	2.0449076767724295	0.9980797089947872
FCER1G	0.9824588298797607	1.965553031517909	0.9911906011107268
OBI1	0.9819506406784058	2.2488969014241147	0.9909342387889337
PINX1	0.98113614320755	2.303330036310049	0.9905231525155707
MRTFA	0.9752628207206726	2.289449306634756	0.987553959451779
EVA1B	0.9613568186759949	1.9920916282213652	0.9804880391016562
PINX1-1	0.9595533609390259	0.41754728097182053	0.9795679559003057
MT1E	0.9498816132545471	2.0174930347846103	0.974618697962247
NKG7	0.943776547908783	3.6040151302631083	0.9714816385409966
MKI67	0.9432453513145447	1.5253893498044748	0.9712081814033048
LINC00339	0.9414018988609314	2.201919422699855	0.9702586794785866
CLDN5	0.9336737394332886	1.0525841013743327	0.9662679431896555
METTL13	0.9323358535766602	0.41067204108605015	0.9655753970166484
DBNDD2	0.931317925453186	2.2903982838615775	0.9650481459144304
CTSW	0.922817587852478	3.0215896459726186	0.960633960305989
HLA-DRA	0.9190031290054321	3.3720084107839146	0.9586465176514367
LTO1	0.9117324352264404	2.220320518200214	0.9548468199573035
RAMAC	0.9092990159988403	2.1992903764431295	0.9535717162647344
PTGDS	0.9028658866882324	1.212948088462536	0.9501925441959949
HBA1	0.8943278193473816	0.41763429006991476	0.9456890687180395
MRTFB	0.8850216865539551	2.1824461955290575	0.9407559038417188
GZMB	0.8829938769340515	1.167249540010324	0.9396775501643441
USP18	0.8791413307189941	2.4408635451243472	0.9376253669838908
SLC9A3	0.8784782886505127	0.6757125490559981	0.9372717369170587
MAP4K3-DT	0.874230682849884	2.1780887016883264	0.9350030245585499
SREBF2-AS1	0.8637306094169617	2.0761544429338894	0.9293710776651836
IFITM3	0.8626026511192322	2.9358038099912496	0.9287640491791453
PCLAF	0.8607954978942871	1.5051260716640031	0.9277906413588306
NR4A1	0.8599920272827148	1.4663966366877923	0.9273575632614582
C20orf204	0.8595337867736816	1.2746513428596349	0.9271104532179182
GNLY	0.8576821684837341	3.1778689118532033	0.9261113254136804
ETV7	0.8568614721298218	1.46234653202387	0.9256681114934321
SPATS2L	0.8554990291595459	2.645349227465116	0.9249319015185629
MS4A7	0.853346049785614	0.7124593784459509	0.9237673196215365
MTRES1	0.8532534241676331	2.1117903727751512	0.9237171626696641
RWDD3	0.8472121953964233	3.2135576697496266	0.920441313390787
CX3CR1	0.8229763507843018	1.1735734294813414	0.9071804451456804
CMPK2	0.8221207857131958	2.0483247889922214	0.9067087658133685
SPI1	0.8188702464103699	0.8366957730255448	0.9049145002668846
RRM2	0.8149813413619995	1.0094069987535477	0.9027631821631131
MRPL20-AS1	0.8102189898490906	2.0762418050032396	0.9001216440650375
ISG15	0.808371365070343	4.974618902573218	0.8990947599365031
EPSTI1	0.8077371120452881	3.8999317242549014	0.8987419590407553
AREG	0.8075029850006104	2.261865320113989	0.8986117074414632
U2AF1	0.8052856922149658	1.4996748572358718	0.8973771285614167
OASL	0.8002963066101074	1.9499502182006836	0.8945928170035146
MX1	0.7991559505462646	4.1946140711124125	0.8939552180336157
MNDA	0.7988344430923462	0.8464518526139168	0.8937753888037311
HLA-DQA2	0.7937403917312622	0.6581525651809688	0.8909211054677638
TYMS	0.7935458421707153	1.196348557105431	0.8908119096903895
FOSB	0.7924374938011169	5.035393137198228	0.8901895918682794
MRPL38	0.7866888046264648	3.285013198852539	0.8869547794773619
LRATD2	0.7816582918167114	1.9718482494354248	0.8841144084363474
C17orf49	0.7790526747703552	4.130005052456489	0.8826395903455911
BCKDHA	0.7784420251846313	2.484457424053779	0.8822936266055946
IFI44	0.7770372629165649	3.394913320357983	0.881497187882755
VCAN	0.7769759893417358	0.6808160713945444	0.8814624160241835
WBP1	0.7733850479125977	2.885137133873426	0.87942314693458
GIMAP5	0.7707527875900269	4.299819139333872	0.8779252837763263
LINC02611	0.7672342658042908	2.0237551102271447	0.8759191083567871
RAB43	0.7647257447242737	2.234622363287669	0.8744859894994619
SNX15	0.7573086023330688	2.3312724582277813	0.8702348057789108
LINC01409	0.7517903447151184	1.9975506250674908	0.8670584549985247
LINC00278	0.7490575909614563	0.47016242490364957	0.8654811174729526
RAD50	0.7447551488876343	3.4860910773277283	0.8629919620609499
EGR1	0.732982873916626	1.4764422166806002	0.8561441981581964
EIF4EBP3	0.7310349345207214	2.4309689975701847	0.8550058020238471
LAIR2	0.7293883562088013	2.1270316128547373	0.8540423576344112
PLCG2	0.7265613675117493	3.8142644258645864	0.8523856944386156
ZNF875	0.7260468602180481	1.9703443096234248	0.8520838395292181
DOP1A	0.7255560159683228	1.9480138879555922	0.8517957746109256
POLD4	0.7186795473098755	4.189420424974882	0.8477496833191924
HMGN4	0.7168837785720825	3.721342471929697	0.8466899009088817
ATXN7	0.7163333296775818	3.8456153869628906	0.8463647837014293
HERC5	0.7072930335998535	3.4440774734203634	0.8410071405854005
HDAC4-AS1	0.7072769999504089	1.9257451708500202	0.8409976190449505
MFSD14A	0.7062049508094788	2.706518070055888	0.840360009243255
CPVL	0.7061206102371216	0.7103930517601279	0.8403098256518788
TYMP	0.7050747275352478	3.6551506152519813	0.8396872939076027
CIAO3	0.7011385560035706	1.9042562383871813	0.8373401660350397
IFI6	0.7006919384002686	4.661869801007784	0.8370734240745792
LINC00174	0.7000150680541992	1.91846397289863	0.8366690283484275
DIPK2A	0.6968746781349182	1.8925079428232634	0.8347901850517797
KLF3-AS1	0.6958757638931274	1.7582459449768066	0.8341916713672787
FGL2	0.6958259344100952	2.140018953726842	0.834161820214281
RNF213-AS1	0.6952928900718689	1.8807641176077037	0.8338422441906802
HLA-DRB1	0.6938531994819641	3.484771870649778	0.8329785200995309
HLA-DQA1	0.6906848549842834	1.7024233776789446	0.8310745169828697
PLAAT3	0.6898171901702881	1.6371694596914144	0.8305523320000976
PAM16	0.6889763474464417	2.7629097379170933	0.8300460044809232
LINC01619	0.6868122816085815	1.793612172970405	0.8287413709958742
LERFS	0.6837980151176453	0.6127260396830164	0.8269207890321911
GET1	0.6822355389595032	1.9116623951838567	0.8259755170752306
ADORA2A	0.6820781230926514	1.9161337033773844	0.8258802112672899
MS4A6A	0.6815677285194397	1.1996559282908072	0.8255711418555838
DOP1B	0.6772384643554688	1.8650540021749644	0.8229450071709954
CH25H	0.6745409965515137	0.4535496812313795	0.8213044645319055
TRIM34	0.6725416779518127	1.9497817963934863	0.8200863842281879
CYBB	0.6666759252548218	0.7283316985345804	0.816502255796398
ZFHX2-AS1	0.6657195091247559	1.7950409696652339	0.8159163742985762
IFI30	0.6637873649597168	1.6323636718667471	0.8147314723565594
FAM13A	0.6616973876953125	3.6354372593072743	0.813447853855284
LINC02694	0.6594377756118774	1.5017904868492713	0.8120577526159088
ITPRID2	0.6591135263442993	1.8721105043704693	0.8118580625717348
ERCC5	0.6489553451538086	3.5106778098986697	0.8055776428802516
CHROMR	0.6449557542800903	1.840679434629587	0.8030913776561849
FUT7	0.6392419338226318	2.370918711790672	0.7995260803931483
CRYBB2	0.6369093656539917	0.9329847097396851	0.7980660044074493
XAF1	0.6313194036483765	4.61658316392165	0.7945561213360907
CALHM6	0.6308751702308655	2.4000770105765414	0.7942765108503028
OAS3	0.6296513676643372	2.59355275447552	0.7935057304113937
MYOM2	0.6221686005592346	2.043242108363372	0.7887766294674504
LINC00205	0.6154213547706604	1.7980569280110872	0.7844879549804159
CCDC144A	0.6145079135894775	2.793768515953651	0.783905532794665
TMEM238	0.6118454337120056	3.4398456399257364	0.7822055046904152
ZNF790-AS1	0.6063458919525146	1.7935538521179786	0.7786821379016674
PRXL2A	0.6035378575325012	1.71358467065371	0.776876973216809
SBNO1-AS1	0.5989627242088318	1.765176731806535	0.7739268237975596
RPS17	0.5954521894454956	6.664303724582378	0.771655489291334
MMUT	0.5937693119049072	1.7171693031604474	0.7705642883191923
TK1	0.5899276733398438	0.8970625787400283	0.7680674914536583
MPEG1	0.5892055630683899	0.5924569592596247	0.7675972769791778
HES4	0.5875608325004578	1.613410655122537	0.7665251638433277
TNFAIP3	0.5870459079742432	4.885001604373638	0.7661892089322314
ABHD16A	0.5869908332824707	2.4719779926996965	0.7661532675282188
PLSCR1	0.5867305397987366	2.9757145780783434	0.7659833826908675
BSCL2	0.5861351490020752	2.2113052159547806	0.7655946226753851
VPS13B-DT	0.586132287979126	1.7222265142660875	0.7655927654687015
LYN	0.5807797908782959	0.8270390234314479	0.7620891121088907
NFKBIA	0.5789247751235962	5.34089968754695	0.7608710707890056
CD14	0.5771405100822449	0.6606240851374773	0.7596976244822173
NHEJ1	0.5733097195625305	1.8225542480269303	0.7571721780644857
DUSP1	0.5689370632171631	5.184281798509451	0.7542791647994553
CD70	0.5612295866012573	1.084652184866942	0.7491525765327826
CDO1	0.5600018501281738	0.5382396699502491	0.7483327233904039
RSKR	0.5540425181388855	1.6932008816645696	0.7443403055308473
TAFA2	0.5535948276519775	1.6474298972349901	0.7440395229585144
JUN	0.5481781959533691	6.353468143022978	0.7403905870406758
FCRL3	0.547206461429596	1.9981043407550225	0.7397340541776941
ZEB2	0.5471465587615967	2.293407364533498	0.7396935746055662
FKBP2	0.5459474325180054	2.4107414117226234	0.7388825710587655
PACC1	0.5455657243728638	1.7045008540153503	0.7386242296979857
HIPK1-AS1	0.5454009175300598	2.342202223264254	0.7385126482523563
