representation	full_cohort_n261	wave4_n89	matched_random_n89	delta_n89	pure_wave4_n66	matched_random_n66	delta_n66
geneformer	0.981989649582242	0.9288928210313449	0.9424924165824063	-0.013599595551061494	0.9040487804878048	0.9298536585365852	-0.0258048780487804
hvg_pseudobulk	0.9770139668287816	0.9337714863498484	0.9616531850353894	-0.027881698685541023	0.9198048780487806	0.963609756097561	-0.043804878048780416
pca_pseudobulk	0.9754084050380348	0.9101365015166836	0.959453993933266	-0.049317492416582454	0.9091707317073172	0.9534146341463416	-0.04424390243902443
