gene	mean_case_log1p_cpm	mean_control_log1p_cpm	delta_case_minus_control	welch_t	welch_p	donor_variance	abs_delta
IFI27	3.9514456	1.2030061	2.7484393	6.918656	2.0005366e-06	3.2932246	2.7484393
IFI44L	4.898994	2.8822963	2.0166976	5.328799	2.6505682e-05	2.2023478	2.0166976
IFIT3	3.207499	1.4150045	1.7924945	5.069173	6.426929e-05	1.8872192	1.7924945
OAS1	3.5137038	1.9631462	1.5505576	5.3341064	3.5720754e-05	1.3332628	1.5505576
RSAD2	3.048836	1.552546	1.49629	5.4300323	3.785826e-05	1.2383263	1.49629
SPATS2L	3.2110686	1.7401981	1.4708705	7.332739	6.3481764e-07	0.889719	1.4708705
EPSTI1	4.4553537	3.0112567	1.444097	7.4261355	3.5559881e-07	0.8400466	1.444097
IFIT1	2.7873955	1.3891708	1.3982247	4.442639	0.00026440556	1.3477468	1.3982247
MT1E	2.5343773	1.1904781	1.3438993	5.0438266	3.832477e-05	0.9878769	1.3438993
ETV7	1.9742596	0.6432856	1.3309741	5.538436	1.1980448e-05	0.89113593	1.3309741
HERC5	3.9495664	2.6352954	1.314271	7.0120945	1.1124365e-06	0.73558474	1.314271
ISG15	5.4722934	4.17834	1.2939534	5.6656146	1.0620505e-05	0.8407062	1.2939534
ODF3B	2.324563	1.0370251	1.2875379	7.9008155	1.385632e-07	0.63746506	1.2875379
CMPK2	2.5387046	1.2637169	1.2749877	5.729488	2.3724666e-05	0.8550056	1.2749877
USP18	2.927555	1.6621568	1.2653983	5.2859263	5.270321e-05	0.914307	1.2653983
IFI44	3.8736	2.6290145	1.2445855	5.7516155	2.0870535e-05	0.80811876	1.2445855
TYMP	4.1293297	2.8964646	1.2328651	5.8189077	6.427197e-06	0.73327774	1.2328651
FAM13A	4.1031885	2.887035	1.2161536	5.027755	9.848902e-05	0.6881653	1.2161536
MX1	4.659882	3.4501853	1.2096968	5.2230363	4.591714e-05	0.83112216	1.2096968
OASL	2.4134965	1.208276	1.2052205	5.288225	5.5880624e-05	0.8323082	1.2052205
CISH	3.6838853	2.5063934	1.1774919	3.8534102	0.0009063263	1.1252396	1.1774919
IFI6	5.1055174	3.9520335	1.1534839	5.5080266	3.5711397e-05	0.7287196	1.1534839
MT2A	5.2455034	4.102573	1.1429305	7.708292	8.6850115e-08	0.49811873	1.1429305
OAS3	3.016053	1.9175524	1.0985006	5.454765	2.8601513e-05	0.65483737	1.0985006
PLSCR1	3.3943515	2.3058953	1.0884562	5.793953	1.7229362e-05	0.61019975	1.0884562
NPDC1	3.6588497	2.5735137	1.085336	6.3850613	1.4377981e-06	0.4915569	1.085336
IFITM3	3.3468637	2.278108	1.0687559	3.617082	0.0013942734	0.89710677	1.0687559
NOG	2.2205272	3.2829902	-1.062463	-5.9675374	4.4119724e-06	0.4913083	1.062463
XAF1	5.0191574	3.9724648	1.0466926	4.973468	7.7814395e-05	0.6565722	1.0466926
IGFL2	1.2663105	0.23805566	1.0282547	5.7335896	2.0729774e-05	0.5522411	1.0282547
SOCS2	3.3815985	2.3662806	1.0153179	5.401907	1.6770431e-05	0.53216434	1.0153179
TNFRSF4	4.1614747	3.1632853	0.99818945	5.023043	4.1700332e-05	0.51819235	0.99818945
SOX4	2.8906775	3.8823693	-0.9916918	-3.044954	0.0058862623	1.1074562	0.9916918
PARP9	3.8919804	2.920382	0.9715984	6.1212792	7.0196147e-06	0.45529592	0.9715984
PGAP1	2.8966334	1.9330645	0.9635689	7.2086015	5.2864635e-07	0.38238937	0.9635689
HBB	0.9779388	0.04397068	0.93396807	2.123569	0.05072939	2.071	0.93396807
HDAC9	1.4480493	0.5156854	0.9323639	4.961193	0.000100653764	0.5326648	0.9323639
EIF2AK2	4.7347946	3.8110535	0.9237411	5.6188445	2.9443989e-05	0.458112	0.9237411
S100A8	1.814083	0.8922265	0.92185646	1.8016154	0.086592205	1.8009417	0.92185646
CLDN5	1.4051669	0.48845148	0.9167154	3.136336	0.005582611	0.9710207	0.9167154
DLGAP1	1.0810969	0.1656252	0.9154717	5.449694	5.5382832e-05	0.47253788	0.9154717
FCRL3	2.349958	1.4351385	0.9148195	4.1188583	0.00039004989	0.5690947	0.9148195
BHLHE40	3.078516	2.175224	0.90329194	4.2040453	0.00053947984	0.46184012	0.90329194
TNFRSF18	3.209804	2.3105712	0.89923286	4.0860767	0.0004573512	0.5242349	0.89923286
DDX60	3.7016754	2.8072429	0.89443254	5.117928	6.77577e-05	0.47057104	0.89443254
HLA-DRB5	2.06611	1.1794201	0.8866898	1.7016226	0.101775676	2.1525297	0.8866898
LGALS1	5.190301	4.3041487	0.88615227	3.626814	0.001771472	0.54534423	0.88615227
LGALS9	3.3470178	2.4640648	0.8829529	5.901617	9.851727e-06	0.3874227	0.8829529
PCLAF	1.8412739	0.96728957	0.87398434	3.1324508	0.005847192	0.8952273	0.87398434
PDCD1	2.0991025	1.226557	0.8725455	4.556599	0.00017390016	0.49805307	0.8725455
CX3CR1	1.5087093	0.6373559	0.8713534	3.1687057	0.0050655617	0.8558954	0.8713534
