gene	mean_case_log1p_cpm	mean_control_log1p_cpm	delta_case_minus_control	welch_t	welch_p	donor_variance	abs_delta
IFI27	4.634719	0.83546424	3.7992547	9.352609	5.3104927e-11	6.672845	3.7992547
IFI44L	4.986754	3.0035744	1.9831796	6.4586306	8.924383e-08	2.5063329	1.9831796
SIGLEC1	2.4145792	0.6207982	1.793781	7.643291	2.557761e-09	1.8067454	1.793781
IFITM3	6.1410294	4.5169315	1.6240978	6.2248287	4.9856527e-07	1.4881203	1.6240978
IFI6	5.756601	4.180904	1.575697	7.5100226	3.915745e-09	1.4279561	1.575697
RSAD2	2.8516426	1.3294009	1.5222417	6.7765017	4.139752e-08	1.5410175	1.5222417
IFI44	4.140438	2.627826	1.5126121	8.506215	1.8938535e-10	1.1271807	1.5126121
IFIT3	3.355201	1.853058	1.502143	6.288057	1.913465e-07	1.663504	1.502143
CMPK2	3.2649143	1.7720295	1.4928848	7.299502	6.3354144e-09	1.3000399	1.4928848
CXCL10	1.9498721	0.52617383	1.4236983	6.0821915	3.3425954e-07	1.5326151	1.4236983
IFIT1	2.884759	1.5111753	1.3735837	5.7375145	1.1804731e-06	1.6131356	1.3735837
HBA2	5.9918447	4.623943	1.3679018	1.6456739	0.112788245	8.140177	1.3679018
C1QB	2.4577827	1.0969505	1.3608322	5.217863	8.648223e-06	1.3711511	1.3608322
OASL	3.0559752	1.7158451	1.3401301	7.4844446	2.9866227e-09	0.95537853	1.3401301
USP18	3.2918217	1.9529022	1.3389195	6.9595933	3.1502456e-08	1.1846195	1.3389195
EPSTI1	5.302163	3.976207	1.3259561	6.178516	7.2597345e-07	0.97218144	1.3259561
HBA1	5.752896	4.451147	1.3017488	1.4767962	0.1557816	7.47768	1.3017488
ISG15	6.1114883	4.8224716	1.2890167	7.1666512	1.7665624e-08	1.0583026	1.2890167
OAS3	3.2112856	1.9389725	1.2723131	7.508091	3.2931857e-09	0.91177386	1.2723131
S100A8	7.929632	6.660913	1.2687192	6.0623813	6.832286e-06	0.7170434	1.2687192
SERPING1	1.9219891	0.66302115	1.2589679	6.2809553	2.4966377e-07	1.2119293	1.2589679
OTOF	1.3479652	0.09248182	1.2554834	6.392682	3.1291526e-07	1.238828	1.2554834
PLSCR1	4.4270897	3.1951559	1.2319338	7.848509	9.351995e-10	0.75303084	1.2319338
APOBEC3A	3.8354743	2.6080878	1.2273865	4.5566325	4.9761657e-05	1.5086519	1.2273865
RP11-1143G9.4	5.7678986	4.542005	1.2258935	2.5664732	0.019443303	2.2224863	1.2258935
MX1	4.525124	3.306145	1.2189791	6.3896465	1.3109326e-07	1.0603137	1.2189791
RNASE2	3.425087	2.215945	1.209142	6.192228	4.1216128e-07	0.8628397	1.209142
S100A9	8.226683	7.034937	1.1917458	5.475885	3.0375859e-05	0.6878078	1.1917458
FCGR1A	3.0619752	1.8709556	1.1910197	6.727448	3.1881046e-07	0.6588232	1.1910197
HERC5	3.1224494	1.9433719	1.1790775	7.9691687	1.1771654e-09	0.75316125	1.1790775
GMPR	2.169717	0.9924627	1.1772544	6.0693307	3.6175473e-07	0.9241791	1.1772544
CD163	2.9865863	1.8193202	1.1672661	6.151334	3.8030296e-07	0.837067	1.1672661
SPATS2L	2.8285606	1.6673905	1.1611701	7.505857	4.892081e-09	0.7907405	1.1611701
TYMP	6.029336	4.870363	1.1589727	7.18284	1.9481405e-08	0.6593482	1.1589727
C1QC	1.4248183	0.30728072	1.1175375	5.715807	1.0176717e-06	0.98225605	1.1175375
OAS1	4.0048323	2.8960266	1.1088057	6.251924	2.1102296e-07	0.91106266	1.1088057
TCN2	2.0048814	0.8966693	1.108212	7.2150235	7.5631235e-09	0.7130553	1.108212
HBB	6.5139956	5.415453	1.0985427	1.1383178	0.26733434	9.831183	1.0985427
ACSL1	3.0870993	1.9912835	1.0958158	7.863677	2.4999103e-09	0.53131205	1.0958158
IFIT2	3.0949383	2.003459	1.0914793	6.3163075	1.6003185e-07	0.85776514	1.0914793
THBS1	2.6622782	1.5719024	1.0903758	4.0900292	0.00031966597	1.1453445	1.0903758
MARCO	2.4127953	1.3385257	1.0742697	5.1993117	2.5777304e-05	0.69618577	1.0742697
APOBEC3B	2.0176268	0.95666236	1.0609643	5.311156	3.9504694e-06	1.0234135	1.0609643
NEXN	2.0831728	1.0280507	1.0551221	7.3001285	1.3129928e-08	0.6964526	1.0551221
NOG	1.2333148	2.2883532	-1.0550385	-7.5652394	2.4585018e-08	0.4670182	1.0550385
MS4A4A	2.4864893	1.435664	1.0508252	5.324383	7.4394343e-06	0.7661938	1.0508252
ODF3B	3.8031578	2.753358	1.0497999	8.17301	4.971284e-10	0.4921469	1.0497999
S100A12	5.7207623	4.672167	1.0485954	5.1002607	5.3217704e-05	0.6156715	1.0485954
SCO2	4.2967086	3.2595367	1.0371718	7.507231	2.8821467e-09	0.59028274	1.0371718
FPR1	3.6695256	2.6339765	1.0355492	4.400006	0.0003892394	0.6476865	1.0355492
ADM	2.1473305	1.1197095	1.027621	6.6390557	9.573219e-08	0.57551396	1.027621
C1QA	2.9457285	1.9191937	1.0265348	4.386106	0.0001460549	0.9017301	1.0265348
HBD	1.9826082	0.9854769	0.9971313	2.3584266	0.024773834	2.6648343	0.9971313
SAMD4A	2.5717862	1.5756837	0.99610245	7.0324225	1.3540969e-08	0.56243485	0.99610245
HLA-DRB5	4.667441	3.6737413	0.99369955	1.8170955	0.085888036	2.731933	0.99369955
OAS2	3.5780308	2.5874605	0.9905703	6.5305276	1.0178234e-07	0.6986195	0.9905703
FOLR3	2.2951038	1.3157287	0.9793751	3.6968098	0.0011372925	0.96664786	0.9793751
LILRA5	3.5758781	2.6085448	0.9673333	5.948388	4.8401043e-06	0.46199173	0.9673333
RNASE1	1.3973029	0.43224195	0.96506095	4.2886043	0.000119712226	0.9991738	0.96506095
FCN1	6.161585	5.1968827	0.9647021	5.2909718	1.7814515e-05	0.5626204	0.9647021
PARP9	3.6860232	2.7274148	0.9586084	7.1911683	8.827132e-09	0.5452003	0.9586084
XAF1	4.4112473	3.455211	0.9560363	5.63915	1.3531871e-06	0.758606	0.9560363
ALAS2	1.7475991	0.7929267	0.9546724	2.2068167	0.03535853	2.6254241	0.9546724
AQP9	2.1050181	1.1512527	0.9537654	5.6247115	4.142555e-06	0.55646104	0.9537654
SAP30	2.2270792	1.2760333	0.9510459	5.19035	6.7706565e-06	0.7381449	0.9510459
CTA-384D8.34	2.0073488	1.067462	0.9398868	6.386737	2.8892853e-07	0.48599452	0.9398868
MT2A	6.0176744	5.08044	0.9372344	4.951644	1.8953371e-05	0.70651525	0.9372344
UTS2	2.114293	1.178951	0.9353421	2.8386726	0.009438042	1.3163435	0.9353421
CLEC4E	3.3744662	2.4410584	0.9334078	4.85028	4.0302573e-05	0.6428611	0.9334078
CH25H	1.1997857	0.2805834	0.9192023	4.448789	7.8814664e-05	1.1457876	0.9192023
EIF2AK2	4.2676167	3.3498244	0.9177923	7.557179	2.8568419e-09	0.47137025	0.9177923
FCGR1B	2.3428361	1.4253473	0.9174888	4.813338	7.780945e-05	0.5474316	0.9174888
LY6E	6.5099874	5.59638	0.9136071	6.4016685	1.1568912e-07	0.5829308	0.9136071
CES1	2.97519	2.062156	0.91303396	3.4017649	0.002929724	0.8221273	0.91303396
TLR2	3.0237947	2.110808	0.91298676	6.4225426	2.5953565e-07	0.45535055	0.91298676
LYZ	8.143344	7.23717	0.9061737	4.501402	0.00024138026	0.5248262	0.9061737
MGST1	3.6297777	2.725543	0.90423465	5.155809	5.064886e-05	0.4439094	0.90423465
JDP2	2.463431	1.5649948	0.89843607	5.892587	8.569476e-07	0.52623105	0.89843607
VCAN	5.1737514	4.276074	0.8976774	4.436958	0.00033569869	0.4932205	0.8976774
MNDA	5.265692	4.371496	0.89419603	4.5099435	0.00013613953	0.6045281	0.89419603
C19orf59	2.5446599	1.6542417	0.8904182	4.997242	6.159841e-05	0.4657901	0.8904182
RETN	3.6124485	2.7273176	0.8851309	2.9364843	0.008739788	0.93312234	0.8851309
PLBD1	3.7989383	2.9153802	0.88355803	4.8207116	7.4012634e-05	0.5106149	0.88355803
CD14	4.9184065	4.046379	0.8720274	4.566988	0.00013890982	0.53756654	0.8720274
ETV7	1.319602	0.44894817	0.87065387	6.3944993	1.0997905e-07	0.51656353	0.87065387
EXOC3L1	1.3169193	0.44852534	0.868394	7.00947	1.4415115e-08	0.45075336	0.868394
CLEC4D	1.9384627	1.0702918	0.868171	5.6758127	1.7388361e-06	0.5152585	0.868171
LGALS3BP	3.8727067	3.0065699	0.8661368	6.47758	8.658556e-08	0.4696598	0.8661368
STAB1	2.3263006	1.461694	0.8646066	5.352866	1.3458984e-05	0.45457786	0.8646066
SERPINA1	5.2796206	4.4165173	0.8631034	5.4160643	4.6227924e-06	0.5253532	0.8631034
HERC6	2.8213775	1.961237	0.86014056	6.090305	3.100765e-07	0.5495077	0.86014056
CD36	4.1016545	3.241665	0.85998964	5.0090694	4.419056e-05	0.4635516	0.85998964
DDX60	2.9505339	2.0915174	0.8590164	6.372578	1.1791756e-07	0.50455487	0.8590164
CPA5	1.600204	2.4570322	-0.8568282	-3.3771293	0.0020484452	1.0008126	0.8568282
NFE2	2.2150483	1.363701	0.8513473	5.2487893	1.1966151e-05	0.48793364	0.8513473
TNNT1	2.126783	1.2761483	0.8506346	3.2377725	0.0042172805	0.77878237	0.8506346
CCL2	1.3265269	0.47985518	0.8466717	4.032042	0.00023671369	1.0640043	0.8466717
PRR7-AS1	1.029066	1.8739746	-0.8449086	-3.4453995	0.0029254153	0.6415721	0.8449086
HCAR3	2.813759	1.972219	0.8415401	5.7581034	1.6402804e-06	0.45751062	0.8415401
FFAR2	1.8728292	1.0334537	0.8393755	5.9005885	5.538312e-07	0.520298	0.8393755
HLX	1.731543	0.89398116	0.8375618	6.6137414	1.2020269e-07	0.37754878	0.8375618
FAM198B	2.5122612	1.681251	0.8310101	4.27528	0.0005425114	0.42278376	0.8310101
AHSP	1.394889	0.5640668	0.83082217	2.620541	0.012328251	1.8768867	0.83082217
HCAR2	2.2316246	1.402222	0.82940257	4.794054	0.0001078465	0.41878876	0.82940257
IRAK3	3.1778097	2.3496268	0.82818294	5.0766487	3.397043e-05	0.43050185	0.82818294
TNFSF13B	4.575407	3.7477217	0.82768536	5.913272	1.0255806e-06	0.42644456	0.82768536
CLEC12A	3.9918938	3.1655836	0.82631016	3.9234908	0.00066777534	0.6153994	0.82631016
QPCT	2.9693334	2.1475565	0.82177687	5.4426346	3.112953e-05	0.33240497	0.82177687
STAT1	4.569791	3.7516558	0.818135	6.6100683	5.899171e-08	0.4014984	0.818135
CREB5	2.6549149	1.837745	0.8171699	5.2613115	2.2418713e-05	0.39519426	0.8171699
CDA	3.4279141	2.613819	0.81409526	4.223297	0.0004848924	0.45248756	0.81409526
LAP3	4.300779	3.4871294	0.8136494	6.566433	7.158369e-08	0.45138183	0.8136494
RIN2	2.1316996	1.3225888	0.80911076	5.6223245	2.5619952e-06	0.43471074	0.80911076
MX2	4.166826	3.358946	0.8078797	6.9163213	3.6960774e-08	0.4361384	0.8078797
CCL3L3	2.726026	1.922108	0.803918	2.0966809	0.045873273	1.887258	0.803918
IRF7	4.62408	3.8211014	0.80297875	5.6827426	1.2850238e-06	0.54739815	0.80297875
C15orf48	2.0911803	1.2901773	0.801003	3.438718	0.0013980577	1.0369816	0.801003
LGALS1	6.769522	5.969544	0.79997826	5.684167	1.2694776e-05	0.31768113	0.79997826
