split_seed	ifn_delta_auc	random_delta_mean	random_delta_q95	ifn_delta_percentile	one_sided_empirical_p
20260801	0.1497692979174462	0.11145167726649215	0.20086980920314257	69.4	0.3073852295409182
20260802	0.14889637111859344	0.11380783140042411	0.20409028557176706	67.8	0.32335329341317365
20260803	0.15207631874298544	0.11391669784262373	0.2103909465020575	68.60000000000001	0.3153692614770459
20260804	0.15556802593839625	0.12110599825414643	0.21725277466018206	66.4	0.3373253493013972
20260805	0.15513156253896987	0.11653834642723523	0.2127821424117719	68.2	0.3193612774451098
