dataset_id	repeat	split_seed	method	roc_auc	pr_auc	brier
SLE_GSE135779	1	20260801	Frozen Geneformer	0.9421487603305784	0.9841808120143845	0.1673482614043098
SLE_GSE135779	1	20260801	Mean-HVG pseudobulk	0.9669421487603304	0.989684869888219	0.1588579726312406
SLE_GSE135779	1	20260801	PCA pseudobulk	0.9228650137741048	0.9662974251601656	0.1966832691500173
SLE_GSE135779	2	20260802	Frozen Geneformer	0.856749311294766	0.956575907077503	0.2049854911817298
SLE_GSE135779	2	20260802	Mean-HVG pseudobulk	0.9338842975206612	0.9811465343442088	0.158460682763348
SLE_GSE135779	2	20260802	PCA pseudobulk	0.9256198347107438	0.9781542696086408	0.2457803584207951
SLE_GSE135779	3	20260803	Frozen Geneformer	0.953168044077135	0.9850780533257536	0.179947019957587
SLE_GSE135779	3	20260803	Mean-HVG pseudobulk	0.9724517906336088	0.9915204460659004	0.1585777649282427
SLE_GSE135779	3	20260803	PCA pseudobulk	0.9724517906336088	0.991967468805704	0.1613172051299947
SLE_GSE135779	4	20260804	Frozen Geneformer	0.953168044077135	0.9838015352555918	0.1736355367570299
SLE_GSE135779	4	20260804	Mean-HVG pseudobulk	0.9338842975206612	0.9783310096618744	0.1714490379667216
SLE_GSE135779	4	20260804	PCA pseudobulk	0.9862258953168044	0.9956922162804516	0.2497486598239297
SLE_GSE135779	5	20260805	Frozen Geneformer	0.9146005509641874	0.9737386400213872	0.1894046456364989
SLE_GSE135779	5	20260805	Mean-HVG pseudobulk	0.9724517906336088	0.9915204460659004	0.1682460713862432
SLE_GSE135779	5	20260805	PCA pseudobulk	0.953168044077135	0.9844383577710764	0.1470119737002393
SLE_GSE135779	6	20260806	Frozen Geneformer	0.8567493112947658	0.9540955894131936	0.2260707955740447
SLE_GSE135779	6	20260806	Mean-HVG pseudobulk	0.9696969696969696	0.9908161059370736	0.1592716824228234
SLE_GSE135779	6	20260806	PCA pseudobulk	0.9338842975206612	0.9819406038918232	0.2270141943147536
SLE_GSE135779	7	20260807	Frozen Geneformer	0.9449035812672176	0.9838895159017108	0.1665281873948985
SLE_GSE135779	7	20260807	Mean-HVG pseudobulk	0.9614325068870524	0.9882405052859596	0.1558598637852646
SLE_GSE135779	7	20260807	PCA pseudobulk	0.9834710743801652	0.9944155368092316	0.2168259338789526
SLE_GSE135779	8	20260808	Frozen Geneformer	0.8815426997245179	0.9642592294462458	0.2103372145659313
SLE_GSE135779	8	20260808	Mean-HVG pseudobulk	0.9393939393939394	0.9803892537219724	0.1668067949240715
SLE_GSE135779	8	20260808	PCA pseudobulk	0.9366391184573004	0.9809938050424112	0.1956077257677618
SLE_GSE135779	9	20260809	Frozen Geneformer	0.8898071625344353	0.9658197137731188	0.2013296073012608
SLE_GSE135779	9	20260809	Mean-HVG pseudobulk	0.9724517906336088	0.9915204460659004	0.1461206483943023
SLE_GSE135779	9	20260809	PCA pseudobulk	0.9614325068870524	0.9881728565552094	0.1200812454179742
SLE_GSE135779	10	20260810	Frozen Geneformer	0.928374655647383	0.97899513167277	0.1913322637840222
SLE_GSE135779	10	20260810	Mean-HVG pseudobulk	0.931129476584022	0.9803500493371972	0.1824946741170315
SLE_GSE135779	10	20260810	PCA pseudobulk	0.9146005509641874	0.9470634444288588	0.2152676752257287
SLE_GSE135779	11	20260811	Frozen Geneformer	0.8650137741046832	0.9574482634290395	0.208101065878926
SLE_GSE135779	11	20260811	Mean-HVG pseudobulk	0.9283746556473828	0.9790494143510832	0.1574312570487697
SLE_GSE135779	11	20260811	PCA pseudobulk	0.9889807162534434	0.996403154925882	0.2036534140403266
SLE_GSE135779	12	20260812	Frozen Geneformer	0.8953168044077134	0.9686627389640744	0.2035112000460137
SLE_GSE135779	12	20260812	Mean-HVG pseudobulk	0.9586776859504132	0.9875318309141836	0.1608220667496689
SLE_GSE135779	12	20260812	PCA pseudobulk	0.9256198347107436	0.9778927376477284	0.2106960062936583
SLE_GSE135779	13	20260813	Frozen Geneformer	0.8870523415977961	0.963260742417356	0.197998455600355
SLE_GSE135779	13	20260813	Mean-HVG pseudobulk	0.9366391184573002	0.9811283630943072	0.1796336149663644
SLE_GSE135779	13	20260813	PCA pseudobulk	0.9641873278236914	0.988146891899799	0.1181358149861437
SLE_GSE135779	14	20260814	Frozen Geneformer	0.8787878787878789	0.9656561635070968	0.2154023497312753
SLE_GSE135779	14	20260814	Mean-HVG pseudobulk	0.9614325068870524	0.9885552231883858	0.1703345289031212
