direction	n_source	n_target	selected_C	recomputed_auc	archived_auc	abs_diff	passed	pr_auc	brier	ece_10bin
GSE174188_to_GSE285773	261	26	1.0	0.8625	0.8625	0.0	True	0.9342261904761904	0.6153846153782563	0.6153846153814359
GSE285773_to_GSE174188	26	261	0.001	0.8842748472378102	0.8842748472378102	0.0	True	0.9356470617866328	0.21833408664639964	0.23671556498373333
