representation	target	n_positive	auc_mean	auc_sd	n_repeats
geneformer	case_control	162	0.9819553560294301	0.003353721615779737	5
geneformer	wave1_vs_rest	32	0.9913755458515284	0.010480633638793263	5
geneformer	wave2_vs_rest	115	0.9868969624776653	0.0026995526812083927	5
geneformer	wave3_vs_rest	25	0.9996610169491525	0.00035552842310850974	5
geneformer	wave4_vs_rest	89	0.9981186307812908	0.0010072816967544318	5
hvg_pseudobulk	case_control	162	0.97549569771792	0.002057802105244451	5
hvg_pseudobulk	wave1_vs_rest	32	0.9964519650655023	0.0018450266136632901	5
hvg_pseudobulk	wave2_vs_rest	115	0.9872304943418702	0.0014112403306367892	5
hvg_pseudobulk	wave3_vs_rest	25	0.9966440677966103	0.00207694558400546	5
hvg_pseudobulk	wave4_vs_rest	89	0.998745753854194	0.0005033018104065297	5
pca_pseudobulk	case_control	162	0.9681381718418753	0.013152382189497812	5
pca_pseudobulk	wave1_vs_rest	32	0.9966430131004367	0.001182118331206738	5
pca_pseudobulk	wave2_vs_rest	115	0.9873377010125074	0.0032509974277364307	5
pca_pseudobulk	wave3_vs_rest	25	0.9949491525423729	0.0035478426669982126	5
pca_pseudobulk	wave4_vs_rest	89	0.9924483929971256	0.002396504574981459	5
