rep,seed,auc
0,1121658902,0.5770046140416512
1,1168013701,0.5568025938396309
2,2128588026,0.49064721286943513
3,2037549475,0.5693353285945879
4,1156000210,0.4783015338570894
5,969117754,0.5166479610924055
6,10613014,0.5096645467015837
7,1526418456,0.39256765182691106
8,223740935,0.4926424741239556
9,1619048101,0.5134056615538097
10,2067424936,0.5599825414640229
11,1223323082,0.40503803466766436
12,654214219,0.46184062850729524
13,1647399179,0.5331088664421998
14,1584060781,0.5422122459159496
15,897349413,0.5164609053497943
16,627666088,0.4764309764309765
17,2083698532,0.5467639356528244
18,1733146848,0.520513779773039
19,1673331952,0.40447686743983036
20,167667947,0.4887766554433221
21,1131344687,0.5770669659558548
22,1242076186,0.47736625514403297
23,1265718492,0.5299912707320114
24,219629026,0.5867315126574386
25,761949552,0.41638608305274977
26,1307833629,0.509041027559546
27,423809613,0.5641601197156753
28,1838364155,0.511971567527123
29,1181708782,0.5283077690485098
30,1585699556,0.4651452799600948
31,706056961,0.4890260631001372
32,1338681776,0.5795610425240054
33,1734662456,0.4667040778151889
34,465429964,0.46751465269983794
35,161429704,0.5126574385833644
36,134242853,0.47175458286569394
37,487493119,0.4809203142536476
38,1510065070,0.6304402045142785
39,856319026,0.5493203641351789
40,1295098826,0.4950741987779025
41,1485851433,0.4513655069210625
42,1382333873,0.4908342686120463
43,1234400950,0.5406534480608555
44,211240596,0.48272851976555675
45,103884880,0.44188801596209004
46,338149431,0.513592717296421
47,1245951772,0.4943259758074573
48,1710745206,0.5246913580246914
49,1411151202,0.5163985534355904
50,1768671774,0.5622895622895623
51,866324391,0.5548696844993141
52,136795435,0.5185185185185185
53,1889116105,0.5284948247911211
54,338665317,0.5333582740990148
55,1331370214,0.4448809078438708
56,1487393027,0.466953485472004
57,1036370829,0.5759446315001872
58,312598859,0.4693228582117471
59,272471899,0.5366005736376107
60,1796049864,0.4335328594587854
61,1189822918,0.5029928918817808
62,1002907094,0.4733133807207881
63,526119999,0.5597954857214116
64,433756920,0.5001870557426114
65,156327805,0.5132809577254023
66,499228492,0.45847362514029183
67,1302275723,0.5406534480608556
68,1759672358,0.43583988028432474
69,1546483500,0.5314253647586982
70,900801687,0.4123332086295049
71,165917857,0.5390322982915575
72,688993114,0.505861079935154
73,568338874,0.5050505050505051
74,930789187,0.5382840753211123
75,1137187784,0.411772041401671
76,1395261760,0.5665294924554184
77,112964688,0.5830527497194163
78,1404399879,0.45467015837386204
79,816076260,0.5292430477615663
80,1722842882,0.4925801222097518
81,585894957,0.48210500062351913
82,2065427020,0.5576131687242798
83,604949130,0.5138421249532361
84,2043355122,0.5144656440952736
85,1492581118,0.5163362015213867
86,2047098863,0.47543334580371616
87,1793042978,0.4273600199526126
88,1636600561,0.5140291806958474
89,787958445,0.4031051253273475
90,859525370,0.4939518643222347
91,953833640,0.5314253647586982
92,1662947545,0.47162987903728637
93,1000569023,0.5868562164858461
94,1856218137,0.5101010101010102
95,809110396,0.5388452425489463
96,143300766,0.4959471255767552
97,1930866102,0.4112108741738371
98,702275293,0.4029804214989401
99,325286609,0.4512408030926549
100,640599314,0.44163860830527496
101,1609593022,0.47019578501059983
102,997401842,0.41563786008230447
103,1585264491,0.5059234318493578
104,457901834,0.5142162364384586
105,623304896,0.46695348547200405
106,2058344454,0.4789874049133308
107,2064189799,0.5173961840628507
108,1851488519,0.46146651702207264
109,31674625,0.477615662800848
110,1150380331,0.5203267240304276
111,1312396633,0.4292929292929293
112,404574082,0.507482229704452
113,1326600066,0.543958099513655
114,545692191,0.47811447811447816
115,664884338,0.5732011472752213
116,1970694028,0.47044519266741486
117,1961509735,0.5296795111609925
118,379855116,0.5688365132809576
119,840597364,0.4409527372490335
120,1659612465,0.5243172465394688
121,2114714663,0.4229330340441452
122,2011492270,0.49663299663299665
123,292003893,0.4576630502556428
124,728012928,0.43658810325476993
125,1993844195,0.5619154508043397
126,1800905176,0.4620276842499065
127,451831352,0.48029679511160994
128,843552197,0.5334829779274223
129,1182967062,0.5578625763810949
130,1226542669,0.44718792866941015
131,799981757,0.5330465145279961
132,83859794,0.49769297917446065
133,1842458015,0.4584736251402918
134,2074604789,0.4115226337448559
135,1468529373,0.5016835016835017
136,1902813205,0.46876169098391324
137,719822371,0.4252400548696845
138,238977068,0.5052375607931163
139,448271787,0.5442075071704702
140,895005671,0.5359770544955731
141,878976979,0.418443696221474
142,451449420,0.47717919940142156
143,1432125364,0.4441326848734256
144,938242920,0.4999376480857962
145,1978967222,0.4511160992642474
146,2074757944,0.47487217857588226
147,1247427292,0.5207631874298542
148,1553736918,0.5205137797730391
149,1261436483,0.5738870183314628
150,450765425,0.5014340940266866
151,1785838800,0.47007108118219226
152,1470375532,0.543459284200025
153,370320702,0.4444444444444445
154,1184749901,0.5799351540092281
155,468080672,0.44251153510412766
156,1948341722,0.49906472128694346
157,1632622795,0.5600448933782267
158,521116279,0.5181444070332959
159,2078125537,0.4830402793365756
160,2100487677,0.47175458286569405
161,1821620563,0.5932161117346302
162,1832269939,0.4325975807457289
163,598746285,0.5402793365756329
164,842940089,0.5787504676393566
165,2079074155,0.5687118094525502
166,138659906,0.5294924554183813
167,497847735,0.5432098765432098
168,909309200,0.5755705200149644
169,1526099795,0.4801720912832024
170,617494430,0.4391445317371243
171,1260023832,0.4657064471879287
172,1526997315,0.48597081930415265
173,1379783057,0.4578501059982541
174,1759076966,0.45853597705449556
175,2030808947,0.4837885023070208
176,1663158440,0.5457039531113604
177,2020634069,0.5593590223219853
178,1347820747,0.4183813443072702
179,828870111,0.42997880034917074
180,1874218840,0.4758074572889388
181,229967506,0.4746227709190672
182,1859875077,0.5657812694849731
183,631195089,0.43583988028432474
184,1028094915,0.5025564284823545
185,1022197994,0.37648085796233943
186,740496351,0.40927796483352036
187,166245947,0.5185808704327222
188,1764811768,0.5342935528120714
189,1428493912,0.5150268113231076
190,1734858408,0.47262750966454664
191,657381661,0.4624017957351291
192,1825010763,0.37249033545329835
193,994245332,0.4712557675520638
194,407831293,0.49950118468636984
195,1427941375,0.5386581868063349
196,2053205921,0.5195785010599825
197,1375063123,0.4451926674148896
198,1729706204,0.5291183439331587
199,1491320814,0.47281456540715794
200,927369492,0.478925052999127
201,184367429,0.5405287442324479
202,1058858064,0.5014964459408904
203,2028982908,0.49594712557675524
204,549480451,0.5268113231076194
205,1008986199,0.5344806085546826
206,1359054697,0.5043022820800599
207,12804086,0.46495822421748345
208,632429571,0.535166479610924
209,1533759458,0.46464646464646464
210,1877237860,0.5374735004364635
211,1865318914,0.39780521262002744
212,996744354,0.5601695972066343
213,1310286152,0.3943758573388203
214,2146039780,0.4801097393689986
215,2086386177,0.5099763062726025
216,513700915,0.589786756453423
217,81031928,0.5501309390198279
218,749909561,0.4405162738496071
219,822104597,0.5478862701084923
220,1472306692,0.5560543708691856
221,1395233165,0.4923307145529367
222,2024381540,0.4768050879161991
223,178391460,0.5412146152886894
224,1580928299,0.532797106871181
225,534095038,0.5150891632373114
226,1251250040,0.49788003491707195
227,1670637851,0.5282454171343061
228,229093322,0.4829155755081681
229,41854771,0.4615288689362763
230,1502477115,0.45785010599825415
231,1057109654,0.4718169347798977
232,358364701,0.4455044269859084
233,1833996448,0.5793739867813942
234,1402980733,0.540778151889263
235,1773700058,0.4927671779523631
236,1854203068,0.42598827784012966
237,455768557,0.5031175957101883
238,415201354,0.5502556428482354
239,260123982,0.5014964459408904
240,2032011991,0.4979423868312757
241,95494177,0.4807332585110363
242,1809419820,0.5978301533857089
243,1301397508,0.511971567527123
244,1109269802,0.47007108118219226
245,1191351809,0.4508043396932286
246,650583095,0.5143409402668662
247,1024434778,0.4778027185434593
248,1722845344,0.4458161865569273
249,2119110875,0.4572265868562165
250,1535844021,0.4950741987779025
251,218121444,0.45965831151016334
252,1444038387,0.46944756204015464
253,582400484,0.5281830652201023
254,1240187424,0.4150766928544706
255,773259430,0.5940890385334829
256,944691041,0.4633370744481856
257,1173354321,0.4867190422745978
258,575091369,0.47630627260256897
259,184749330,0.5127197904975682
260,1728492879,0.5685871056241426
261,535383562,0.4213118842748472
262,1944036572,0.4316623020326724
263,1369936578,0.5532485347300162
264,1037504848,0.5914079062227211
265,1946786362,0.4574136425988278
266,2025965549,0.48590846738994886
267,2096184500,0.5332335702706072
268,781603872,0.46445940890385334
269,1797700627,0.45230078563411896
270,1509638618,0.4344681381718418
271,1342013517,0.48210500062351913
272,1953333025,0.5668412520264372
273,603689886,0.311572515276219
274,512922780,0.4613418131936651
275,380981683,0.5082928045891009
276,231189568,0.46745230078563416
277,1847645066,0.5326100511285696
278,1138004703,0.5233819678264122
279,1711386934,0.5056740241925427
280,1609546847,0.44924554183813437
281,1221339936,0.5412146152886893
282,15765668,0.4512408030926549
283,1528012447,0.5384711310637236
284,415430319,0.4555430851727148
285,2034660396,0.4617159246788876
286,1550527486,0.5645965831151016
287,920279057,0.5021823169971318
288,1986131001,0.41202144905848614
289,964088180,0.46776406035665297
290,1483950754,0.5448933782267116
291,655290445,0.5136550692106248
292,580193331,0.4630253148771667
293,735184895,0.5006858710562414
294,1456934277,0.4779274223718668
295,1791814049,0.4899613418131937
296,710062496,0.5372240927796483
297,1107519433,0.4673275969572266
298,2097130858,0.4218106995884774
299,1163605231,0.4521137298915077
300,1067364736,0.4966329966329966
301,229182800,0.45965831151016334
302,1485620526,0.47624392068836513
303,1612059106,0.5331712183564036
304,1218394359,0.4844120214490584
305,435200385,0.5123456790123457
306,2067934157,0.5124703828407533
307,1727060883,0.5233196159122085
308,489088335,0.4554183813443072
309,990830438,0.6063100137174211
310,668213042,0.501621149769298
311,25651797,0.49289188178077065
312,1098733903,0.5029928918817808
313,1316331101,0.49600947749095897
314,1599350615,0.5510662177328844
315,1983044447,0.517583239805462
316,213246576,0.5699588477366254
317,1349293371,0.5105998254146402
318,1840767643,0.5285571767053249
319,162288767,0.5182691108617035
320,1027706799,0.5835515650330465
321,644944442,0.5329841626137922
322,1098685751,0.5290559920189549
323,818363436,0.5162114976929792
324,1220010580,0.4259882778401297
325,1867948972,0.4115226337448559
326,897080729,0.5205761316872427
327,1071896088,0.4908342686120464
328,759923738,0.48983663798478616
329,475493025,0.5190173338321487
330,956461149,0.5087292679885271
331,960420653,0.5389699463773538
332,1020566784,0.5034917071954108
333,1968450011,0.5149644594089038
