method	level	mean_auc	sd_auc	median_auc	q25_auc	q75_auc	n_repeats	n_donors	n_cases	n_controls
donor_expression_pca	25	0.960261524822695	0.002817344625966239	0.9609559692671394	0.9585919030732861	0.9618794326241134	10	237	141	96
donor_expression_pca	50	0.9696143617021276	0.00533247685417818	0.9682697990543736	0.9666999113475178	0.9718158983451537	10	237	141	96
donor_expression_pca	100	0.975073877068558	0.005151444688517686	0.9762485224586288	0.973829048463357	0.9783540189125296	10	237	141	96
donor_expression_pca	200	0.9805112293144209	0.0035530697187292665	0.9794252364066194	0.9779661643026004	0.9833591903073287	10	237	141	96
donor_expression_pca	500	0.9828014184397164	0.002570478496450245	0.9838209219858156	0.9805888002364066	0.9847443853427896	10	237	141	96
kme_multiscale@scgpt	25	0.935904255319149	0.0097957142359807	0.934729609929078	0.9275820035460992	0.943927304964539	10	237	141	96
kme_multiscale@scgpt	50	0.947975768321513	0.01082963799879139	0.9482860520094563	0.9438349586288417	0.9508532801418441	10	237	141	96
kme_multiscale@scgpt	100	0.9624039598108748	0.011407062235109075	0.9618424940898346	0.9557291666666666	0.9723699763593381	10	237	141	96
kme_multiscale@scgpt	200	0.9657358156028369	0.00760370155236587	0.9665706264775413	0.9628767730496455	0.9692856087470448	10	237	141	96
kme_multiscale@scgpt	500	0.9720449172576832	0.004054827480844378	0.9709293735224587	0.9701536643026004	0.9737367021276595	10	237	141	96
scgpt_mean	25	0.9374335106382979	0.010269027685007223	0.9345079787234043	0.929188829787234	0.9438718971631205	10	237	141	96
scgpt_mean	50	0.9526374113475178	0.009824103947621687	0.9505393026004728	0.9476765661938534	0.9570404846335698	10	237	141	96
scgpt_mean	100	0.962714243498818	0.006413283219078153	0.9629137115839244	0.9596261820330969	0.9662751182033099	10	237	141	96
scgpt_mean	200	0.966511524822695	0.004620851680773447	0.9664598108747045	0.9632830969267139	0.9691932624113475	10	237	141	96
scgpt_mean	500	0.973684988179669	0.001889867252401842	0.9733303782505911	0.9721668144208039	0.9754543439716312	10	237	141	96
