variant	adjustment	n_repeats	auc_mean	auc_sd	auc_p025	auc_p975	pr_auc_mean	brier_mean
clr_composition	residual_processing_wave	20	0.6889512408030927	0.015782580352005735	0.661226462152388	0.7113168724279837	0.7822952287529592	0.23405636114916292
clr_composition	unadjusted	20	0.9033857089412646	0.011819239474538676	0.881522010225714	0.9201178451178451	0.9218039851977016	0.12999954547784942
clr_plus_log_cells	residual_processing_wave	20	0.6952643721162239	0.020801859222612924	0.6590238807831401	0.7237186681631126	0.7932686229910728	0.22484988350485896
clr_plus_log_cells	unadjusted	20	0.9060699588477366	0.004442165385475152	0.899289188178077	0.9125779398927547	0.9236965263625218	0.12107789259883857
raw_plus_log_cells	residual_processing_wave	20	0.7057581992767178	0.015652304251405253	0.6751434094026687	0.7218278463648833	0.8061500798860888	0.22060702431285778
raw_plus_log_cells	unadjusted	20	0.9150704576630503	0.008405452373033662	0.8967514652699838	0.923972752213493	0.9293728518207957	0.12007726374523402
raw_proportions	residual_processing_wave	20	0.7086700336700337	0.01450991827027917	0.6784293552812072	0.7284963835889762	0.8058747045141585	0.22431022828918595
raw_proportions	unadjusted	20	0.8987997256515776	0.011106767745468565	0.8823224529243049	0.9201271979049757	0.9194254511534193	0.1647628551012133
