variant	stratum	control_type	draw	repeat	seed	n_donors	n_cases	roc_auc
raw_proportions	pure_wave_4	size_label_matched	8	8	20260808	66	25	0.8819512195121952
raw_proportions	pure_wave_4	size_label_matched	9	9	20260809	66	25	0.9365853658536586
raw_proportions	pure_wave_4	size_label_matched	10	10	20260810	66	25	0.9756097560975611
raw_proportions	pure_wave_4	size_label_matched	11	11	20260811	66	25	0.9502439024390243
raw_proportions	pure_wave_4	size_label_matched	12	12	20260812	66	25	0.8995121951219512
raw_proportions	pure_wave_4	size_label_matched	13	13	20260813	66	25	0.9151219512195121
raw_proportions	pure_wave_4	size_label_matched	14	14	20260814	66	25	0.9717073170731707
raw_proportions	pure_wave_4	size_label_matched	15	15	20260815	66	25	0.871219512195122
raw_proportions	pure_wave_4	size_label_matched	16	16	20260816	66	25	0.8785365853658537
raw_proportions	pure_wave_4	size_label_matched	17	17	20260817	66	25	0.888780487804878
raw_proportions	pure_wave_4	size_label_matched	18	18	20260818	66	25	0.9278048780487805
raw_proportions	pure_wave_4	size_label_matched	19	19	20260819	66	25	0.8712195121951221
raw_proportions	pure_wave_4	size_label_matched	20	20	20260820	66	25	0.9531707317073171
raw_plus_log_cells	dominant_wave_4	observed	0	1	20260801	89	46	0.8341759352881698
raw_plus_log_cells	dominant_wave_4	observed	0	2	20260802	89	46	0.9044489383215369
raw_plus_log_cells	dominant_wave_4	observed	0	3	20260803	89	46	0.8827098078867542
raw_plus_log_cells	dominant_wave_4	observed	0	4	20260804	89	46	0.8533872598584429
raw_plus_log_cells	dominant_wave_4	observed	0	5	20260805	89	46	0.8791708796764407
raw_plus_log_cells	dominant_wave_4	observed	0	6	20260806	89	46	0.9029322548028311
raw_plus_log_cells	dominant_wave_4	observed	0	7	20260807	89	46	0.8751263902932255
raw_plus_log_cells	dominant_wave_4	observed	0	8	20260808	89	46	0.8822042467138523
raw_plus_log_cells	dominant_wave_4	observed	0	9	20260809	89	46	0.8751263902932255
raw_plus_log_cells	dominant_wave_4	observed	0	10	20260810	89	46	0.903437815975733
raw_plus_log_cells	dominant_wave_4	observed	0	11	20260811	89	46	0.8402426693629929
raw_plus_log_cells	dominant_wave_4	observed	0	12	20260812	89	46	0.8619817997977754
raw_plus_log_cells	dominant_wave_4	observed	0	13	20260813	89	46	0.8887765419615773
raw_plus_log_cells	dominant_wave_4	observed	0	14	20260814	89	46	0.8822042467138523
raw_plus_log_cells	dominant_wave_4	observed	0	15	20260815	89	46	0.8832153690596563
raw_plus_log_cells	dominant_wave_4	observed	0	16	20260816	89	46	0.91051567239636
raw_plus_log_cells	dominant_wave_4	observed	0	17	20260817	89	46	0.8998988877654196
raw_plus_log_cells	dominant_wave_4	observed	0	18	20260818	89	46	0.8847320525783621
raw_plus_log_cells	dominant_wave_4	observed	0	19	20260819	89	46	0.9009100101112235
raw_plus_log_cells	dominant_wave_4	observed	0	20	20260820	89	46	0.8948432760364005
raw_plus_log_cells	dominant_wave_4	size_label_matched	1	1	20260801	89	46	0.9479271991911021
raw_plus_log_cells	dominant_wave_4	size_label_matched	2	2	20260802	89	46	0.9317492416582407
raw_plus_log_cells	dominant_wave_4	size_label_matched	3	3	20260803	89	46	0.9332659251769464
raw_plus_log_cells	dominant_wave_4	size_label_matched	4	4	20260804	89	46	0.9373104145601617
raw_plus_log_cells	dominant_wave_4	size_label_matched	5	5	20260805	89	46	0.9064711830131447
raw_plus_log_cells	dominant_wave_4	size_label_matched	6	6	20260806	89	46	0.9170879676440848
raw_plus_log_cells	dominant_wave_4	size_label_matched	7	7	20260807	89	46	0.9292214357937311
raw_plus_log_cells	dominant_wave_4	size_label_matched	8	8	20260808	89	46	0.9145601617795753
raw_plus_log_cells	dominant_wave_4	size_label_matched	9	9	20260809	89	46	0.8523761375126391
raw_plus_log_cells	dominant_wave_4	size_label_matched	10	10	20260810	89	46	0.9256825075834176
raw_plus_log_cells	dominant_wave_4	size_label_matched	11	11	20260811	89	46	0.9069767441860466
raw_plus_log_cells	dominant_wave_4	size_label_matched	12	12	20260812	89	46	0.9155712841253792
raw_plus_log_cells	dominant_wave_4	size_label_matched	13	13	20260813	89	46	0.8574317492416582
raw_plus_log_cells	dominant_wave_4	size_label_matched	14	14	20260814	89	46	0.9241658240647118
raw_plus_log_cells	dominant_wave_4	size_label_matched	15	15	20260815	89	46	0.9357937310414559
raw_plus_log_cells	dominant_wave_4	size_label_matched	16	16	20260816	89	46	0.923154701718908
raw_plus_log_cells	dominant_wave_4	size_label_matched	17	17	20260817	89	46	0.9459049544994945
raw_plus_log_cells	dominant_wave_4	size_label_matched	18	18	20260818	89	46	0.8998988877654197
raw_plus_log_cells	dominant_wave_4	size_label_matched	19	19	20260819	89	46	0.9469160768452983
raw_plus_log_cells	dominant_wave_4	size_label_matched	20	20	20260820	89	46	0.8099089989888777
raw_plus_log_cells	pure_wave_4	observed	0	1	20260801	66	25	0.8624390243902439
raw_plus_log_cells	pure_wave_4	observed	0	2	20260802	66	25	0.871219512195122
raw_plus_log_cells	pure_wave_4	observed	0	3	20260803	66	25	0.9141463414634147
raw_plus_log_cells	pure_wave_4	observed	0	4	20260804	66	25	0.871219512195122
raw_plus_log_cells	pure_wave_4	observed	0	5	20260805	66	25	0.8721951219512195
raw_plus_log_cells	pure_wave_4	observed	0	6	20260806	66	25	0.8985365853658537
raw_plus_log_cells	pure_wave_4	observed	0	7	20260807	66	25	0.8585365853658536
raw_plus_log_cells	pure_wave_4	observed	0	8	20260808	66	25	0.8292682926829269
raw_plus_log_cells	pure_wave_4	observed	0	9	20260809	66	25	0.8829268292682927
raw_plus_log_cells	pure_wave_4	observed	0	10	20260810	66	25	0.8907317073170732
