representation	restriction_stratum	residualisation_loss_mean	matched_restriction_loss	loss_difference	loss_difference_bootstrap_p025	loss_difference_bootstrap_p975	loss_ratio	bootstrap_unit
geneformer	dominant_wave_4	0.2683189923930665	0.0135995955510614	0.2547193968420051	0.250881090943514	0.2588503670377901	19.729924422063064	paired repeated-split residualisation losses
geneformer	pure_wave_4	0.2683189923930665	0.0258048780487804	0.2425141143442861	0.23862335489797104	0.24666059457872924	10.397994979315467	paired repeated-split residualisation losses
hvg_pseudobulk	dominant_wave_4	0.2300910337947375	0.027881698685541	0.2022093351091965	0.2002139179748905	0.20427637900494416	8.25240371434252	paired repeated-split residualisation losses
hvg_pseudobulk	pure_wave_4	0.2300910337947375	0.0438048780487804	0.18628615574595708	0.1842689933815725	0.18826894661763688	5.252634958565844	paired repeated-split residualisation losses
pca_pseudobulk	dominant_wave_4	0.24055056740241923	0.0493174924165824	0.19123307498583683	0.18953078978818128	0.19285742029073774	4.8775912078112285	paired repeated-split residualisation losses
pca_pseudobulk	pure_wave_4	0.24055056740241923	0.0442439024390244	0.19630666496339483	0.19466353614434007	0.19790918709832445	5.436920211410797	paired repeated-split residualisation losses
