model	mean	sd	p025	p975	n
gradient_boosting	0.8154958677685951	0.03880103640750149	0.7487603305785124	0.8818181818181818	20
logistic	0.9520661157024793	0.02877367106163191	0.8929063360881543	0.9920110192837465	20
random_forest	0.8241046831955922	0.020268857936647313	0.7774793388429752	0.8471763085399449	20
