repeat	seed	model	roc_auc
1	20260801	logistic	0.953168044077135
1	20260801	random_forest	0.8347107438016529
1	20260801	gradient_boosting	0.8650137741046832
2	20260802	logistic	0.9862258953168044
2	20260802	random_forest	0.7630853994490358
2	20260802	gradient_boosting	0.7382920110192838
3	20260803	logistic	0.9449035812672176
3	20260803	random_forest	0.8374655647382919
3	20260803	gradient_boosting	0.8292011019283746
4	20260804	logistic	0.9559228650137741
4	20260804	random_forest	0.8429752066115702
4	20260804	gradient_boosting	0.8360881542699724
5	20260805	logistic	0.9696969696969697
5	20260805	random_forest	0.837465564738292
5	20260805	gradient_boosting	0.787878787878788
6	20260806	logistic	0.9972451790633609
6	20260806	random_forest	0.8347107438016529
6	20260806	gradient_boosting	0.8126721763085399
7	20260807	logistic	0.9669421487603305
7	20260807	random_forest	0.8402203856749311
7	20260807	gradient_boosting	0.8126721763085399
8	20260808	logistic	0.9228650137741046
8	20260808	random_forest	0.8347107438016529
8	20260808	gradient_boosting	0.8071625344352616
9	20260809	logistic	0.9752066115702479
9	20260809	random_forest	0.8044077134986226
9	20260809	gradient_boosting	0.7988980716253443
10	20260810	logistic	0.9752066115702479
10	20260810	random_forest	0.8484848484848485
10	20260810	gradient_boosting	0.8760330578512396
11	20260811	logistic	0.9201101928374655
11	20260811	random_forest	0.8209366391184573
11	20260811	gradient_boosting	0.7603305785123967
12	20260812	logistic	0.9146005509641874
12	20260812	random_forest	0.8264462809917356
12	20260812	gradient_boosting	0.7630853994490359
13	20260813	logistic	0.9421487603305785
13	20260813	random_forest	0.8457300275482094
13	20260813	gradient_boosting	0.8870523415977962
14	20260814	logistic	0.9586776859504132
14	20260814	random_forest	0.793388429752066
14	20260814	gradient_boosting	0.8319559228650139
15	20260815	logistic	0.8732782369146006
15	20260815	random_forest	0.8154269972451791
15	20260815	gradient_boosting	0.8567493112947658
16	20260816	logistic	0.9586776859504132
16	20260816	random_forest	0.8264462809917354
16	20260816	gradient_boosting	0.8457300275482094
17	20260817	logistic	0.9807162534435262
17	20260817	random_forest	0.8236914600550964
17	20260817	gradient_boosting	0.7988980716253443
18	20260818	logistic	0.9338842975206612
18	20260818	random_forest	0.8099173553719008
18	20260818	gradient_boosting	0.8071625344352618
19	20260819	logistic	0.9559228650137741
19	20260819	random_forest	0.8264462809917354
19	20260819	gradient_boosting	0.7961432506887052
20	20260820	logistic	0.9559228650137741
20	20260820	random_forest	0.8154269972451791
20	20260820	gradient_boosting	0.7988980716253444
