repeat	seed	representation	adjustment	n_donors	n_cases	roc_auc
6	20260806	geneformer	unadjusted	44	33	0.8347107438016529
6	20260806	geneformer	ridge_full_design	44	33	0.4421487603305785
6	20260806	geneformer	random_forest_full_design	44	33	0.7823691460055096
6	20260806	geneformer	batch_location_adjustment	44	33	0.8567493112947658
6	20260806	geneformer	overlap_weighted_full_design	44	33	0.8264462809917356
6	20260806	hvg_pseudobulk	unadjusted	44	33	0.9476584022038568
6	20260806	hvg_pseudobulk	ridge_full_design	44	33	0.44628099173553726
6	20260806	hvg_pseudobulk	random_forest_full_design	44	33	0.7851239669421487
6	20260806	hvg_pseudobulk	batch_location_adjustment	44	33	0.9063360881542699
6	20260806	hvg_pseudobulk	overlap_weighted_full_design	44	33	0.9476584022038568
6	20260806	pca_pseudobulk	unadjusted	44	33	0.9393939393939393
6	20260806	pca_pseudobulk	ridge_full_design	44	33	0.4366391184573003
6	20260806	pca_pseudobulk	random_forest_full_design	44	33	0.790633608815427
6	20260806	pca_pseudobulk	batch_location_adjustment	44	33	0.9063360881542699
6	20260806	pca_pseudobulk	overlap_weighted_full_design	44	33	0.9449035812672176
7	20260807	geneformer	unadjusted	44	33	0.8815426997245179
7	20260807	geneformer	ridge_full_design	44	33	0.46418732782369143
7	20260807	geneformer	random_forest_full_design	44	33	0.7300275482093663
7	20260807	geneformer	batch_location_adjustment	44	33	0.8650137741046832
7	20260807	geneformer	overlap_weighted_full_design	44	33	0.8842975206611571
7	20260807	hvg_pseudobulk	unadjusted	44	33	0.9228650137741047
7	20260807	hvg_pseudobulk	ridge_full_design	44	33	0.4683195592286501
7	20260807	hvg_pseudobulk	random_forest_full_design	44	33	0.8181818181818182
7	20260807	hvg_pseudobulk	batch_location_adjustment	44	33	0.9559228650137741
7	20260807	hvg_pseudobulk	overlap_weighted_full_design	44	33	0.9256198347107437
7	20260807	pca_pseudobulk	unadjusted	44	33	0.9035812672176309
7	20260807	pca_pseudobulk	ridge_full_design	44	33	0.49586776859504134
7	20260807	pca_pseudobulk	random_forest_full_design	44	33	0.8264462809917356
7	20260807	pca_pseudobulk	batch_location_adjustment	44	33	0.9559228650137741
7	20260807	pca_pseudobulk	overlap_weighted_full_design	44	33	0.90633608815427
8	20260808	geneformer	unadjusted	44	33	0.8732782369146005
8	20260808	geneformer	ridge_full_design	44	33	0.5013774104683195
8	20260808	geneformer	random_forest_full_design	44	33	0.696969696969697
8	20260808	geneformer	batch_location_adjustment	44	33	0.8347107438016528
8	20260808	geneformer	overlap_weighted_full_design	44	33	0.8732782369146005
8	20260808	hvg_pseudobulk	unadjusted	44	33	0.9063360881542699
8	20260808	hvg_pseudobulk	ridge_full_design	44	33	0.5041322314049587
8	20260808	hvg_pseudobulk	random_forest_full_design	44	33	0.7079889807162534
8	20260808	hvg_pseudobulk	batch_location_adjustment	44	33	0.931129476584022
8	20260808	hvg_pseudobulk	overlap_weighted_full_design	44	33	0.8980716253443526
8	20260808	pca_pseudobulk	unadjusted	44	33	0.9449035812672175
8	20260808	pca_pseudobulk	ridge_full_design	44	33	0.6074380165289256
8	20260808	pca_pseudobulk	random_forest_full_design	44	33	0.7355371900826446
8	20260808	pca_pseudobulk	batch_location_adjustment	44	33	0.931129476584022
8	20260808	pca_pseudobulk	overlap_weighted_full_design	44	33	0.9449035812672175
9	20260809	geneformer	unadjusted	44	33	0.8705234159779613
9	20260809	geneformer	ridge_full_design	44	33	0.5840220385674931
9	20260809	geneformer	random_forest_full_design	44	33	0.7658402203856749
9	20260809	geneformer	batch_location_adjustment	44	33	0.8650137741046832
9	20260809	geneformer	overlap_weighted_full_design	44	33	0.8705234159779613
9	20260809	hvg_pseudobulk	unadjusted	44	33	0.9338842975206612
9	20260809	hvg_pseudobulk	ridge_full_design	44	33	0.5206611570247934
9	20260809	hvg_pseudobulk	random_forest_full_design	44	33	0.7410468319559229
9	20260809	hvg_pseudobulk	batch_location_adjustment	44	33	0.8512396694214877
9	20260809	hvg_pseudobulk	overlap_weighted_full_design	44	33	0.9476584022038568
9	20260809	pca_pseudobulk	unadjusted	44	33	0.928374655647383
9	20260809	pca_pseudobulk	ridge_full_design	44	33	0.49311294765840225
9	20260809	pca_pseudobulk	random_forest_full_design	44	33	0.7548209366391185
9	20260809	pca_pseudobulk	batch_location_adjustment	44	33	0.8512396694214877
9	20260809	pca_pseudobulk	overlap_weighted_full_design	44	33	0.9228650137741047
10	20260810	geneformer	unadjusted	44	33	0.856749311294766
10	20260810	geneformer	ridge_full_design	44	33	0.5165289256198348
10	20260810	geneformer	random_forest_full_design	44	33	0.721763085399449
10	20260810	geneformer	batch_location_adjustment	44	33	0.8732782369146006
10	20260810	geneformer	overlap_weighted_full_design	44	33	0.837465564738292
10	20260810	hvg_pseudobulk	unadjusted	44	33	0.9256198347107437
10	20260810	hvg_pseudobulk	ridge_full_design	44	33	0.581267217630854
10	20260810	hvg_pseudobulk	random_forest_full_design	44	33	0.7410468319559229
10	20260810	hvg_pseudobulk	batch_location_adjustment	44	33	0.9201101928374656
10	20260810	hvg_pseudobulk	overlap_weighted_full_design	44	33	0.9118457300275482
10	20260810	pca_pseudobulk	unadjusted	44	33	0.9256198347107437
10	20260810	pca_pseudobulk	ridge_full_design	44	33	0.581267217630854
10	20260810	pca_pseudobulk	random_forest_full_design	44	33	0.71900826446281
10	20260810	pca_pseudobulk	batch_location_adjustment	44	33	0.9201101928374656
10	20260810	pca_pseudobulk	overlap_weighted_full_design	44	33	0.9118457300275482
11	20260811	geneformer	unadjusted	44	33	0.90633608815427
11	20260811	geneformer	ridge_full_design	44	33	0.6473829201101928
11	20260811	geneformer	random_forest_full_design	44	33	0.8044077134986226
11	20260811	geneformer	batch_location_adjustment	44	33	0.8319559228650137
11	20260811	geneformer	overlap_weighted_full_design	44	33	0.9256198347107438
11	20260811	hvg_pseudobulk	unadjusted	44	33	0.9311294765840221
11	20260811	hvg_pseudobulk	ridge_full_design	44	33	0.6528925619834711
11	20260811	hvg_pseudobulk	random_forest_full_design	44	33	0.7713498622589532
11	20260811	hvg_pseudobulk	batch_location_adjustment	44	33	0.9035812672176309
11	20260811	hvg_pseudobulk	overlap_weighted_full_design	44	33	0.9449035812672176
11	20260811	pca_pseudobulk	unadjusted	44	33	0.931129476584022
11	20260811	pca_pseudobulk	ridge_full_design	44	33	0.6584022038567493
11	20260811	pca_pseudobulk	random_forest_full_design	44	33	0.7851239669421488
11	20260811	pca_pseudobulk	batch_location_adjustment	44	33	0.9035812672176309
11	20260811	pca_pseudobulk	overlap_weighted_full_design	44	33	0.9449035812672176
12	20260812	geneformer	unadjusted	44	33	0.8898071625344351
12	20260812	geneformer	ridge_full_design	44	33	0.4573002754820937
12	20260812	geneformer	random_forest_full_design	44	33	0.7933884297520661
12	20260812	geneformer	batch_location_adjustment	44	33	0.8457300275482094
12	20260812	geneformer	overlap_weighted_full_design	44	33	0.8705234159779615
12	20260812	hvg_pseudobulk	unadjusted	44	33	0.9035812672176309
12	20260812	hvg_pseudobulk	ridge_full_design	44	33	0.5096418732782368
12	20260812	hvg_pseudobulk	random_forest_full_design	44	33	0.8402203856749311
12	20260812	hvg_pseudobulk	batch_location_adjustment	44	33	0.8898071625344353
12	20260812	hvg_pseudobulk	overlap_weighted_full_design	44	33	0.8953168044077137
12	20260812	pca_pseudobulk	unadjusted	44	33	0.9283746556473829
12	20260812	pca_pseudobulk	ridge_full_design	44	33	0.4545454545454546
12	20260812	pca_pseudobulk	random_forest_full_design	44	33	0.8539944903581267
12	20260812	pca_pseudobulk	batch_location_adjustment	44	33	0.8898071625344353
12	20260812	pca_pseudobulk	overlap_weighted_full_design	44	33	0.9118457300275482
13	20260813	geneformer	unadjusted	44	33	0.8953168044077136
13	20260813	geneformer	ridge_full_design	44	33	0.40771349862258954
13	20260813	geneformer	random_forest_full_design	44	33	0.7658402203856749
13	20260813	geneformer	batch_location_adjustment	44	33	0.8787878787878788
13	20260813	geneformer	overlap_weighted_full_design	44	33	0.8870523415977961
13	20260813	hvg_pseudobulk	unadjusted	44	33	0.9283746556473829
13	20260813	hvg_pseudobulk	ridge_full_design	44	33	0.5509641873278237
13	20260813	hvg_pseudobulk	random_forest_full_design	44	33	0.7878787878787878
13	20260813	hvg_pseudobulk	batch_location_adjustment	44	33	0.9146005509641874
13	20260813	hvg_pseudobulk	overlap_weighted_full_design	44	33	0.928374655647383
13	20260813	pca_pseudobulk	unadjusted	44	33	0.9504132231404958
13	20260813	pca_pseudobulk	ridge_full_design	44	33	0.5358126721763086
13	20260813	pca_pseudobulk	random_forest_full_design	44	33	0.7851239669421488
13	20260813	pca_pseudobulk	batch_location_adjustment	44	33	0.9146005509641874
13	20260813	pca_pseudobulk	overlap_weighted_full_design	44	33	0.953168044077135
14	20260814	geneformer	unadjusted	44	33	0.8292011019283747
14	20260814	geneformer	ridge_full_design	44	33	0.512396694214876
14	20260814	geneformer	random_forest_full_design	44	33	0.7052341597796143
14	20260814	geneformer	batch_location_adjustment	44	33	0.8319559228650139
14	20260814	geneformer	overlap_weighted_full_design	44	33	0.8292011019283747
14	20260814	hvg_pseudobulk	unadjusted	44	33	0.8760330578512397
14	20260814	hvg_pseudobulk	ridge_full_design	44	33	0.568870523415978
14	20260814	hvg_pseudobulk	random_forest_full_design	44	33	0.6914600550964186
14	20260814	hvg_pseudobulk	batch_location_adjustment	44	33	0.9090909090909091
14	20260814	hvg_pseudobulk	overlap_weighted_full_design	44	33	0.8567493112947658
14	20260814	pca_pseudobulk	unadjusted	44	33	0.8787878787878788
14	20260814	pca_pseudobulk	ridge_full_design	44	33	0.5922865013774105
14	20260814	pca_pseudobulk	random_forest_full_design	44	33	0.7520661157024794
14	20260814	pca_pseudobulk	batch_location_adjustment	44	33	0.9090909090909091
14	20260814	pca_pseudobulk	overlap_weighted_full_design	44	33	0.859504132231405
15	20260815	geneformer	unadjusted	44	33	0.8650137741046832
