representation	best_batch_auc	batch_only_disease_auc	unadjusted_disease_auc	batch_residualised_disease_auc	delta_batch_residualised_minus_unadjusted
geneformer	0.9930555555555556	0.4992424242424242	0.8698347107438016	0.872038567493113	0.0022038567493114503
hvg_pseudobulk	0.961111111111111	0.4992424242424242	0.9331955922865014	0.931542699724518	-0.0016528925619834212
pca_pseudobulk	0.961111111111111	0.4992424242424242	0.9449035812672176	0.9362258953168044	-0.008677685950413183
