method,reference,observed_delta,mean_delta,sd_delta,q025,q975,above_cov_only
scgpt_mean_covres,covariates_only,0.021760818057114273,0.02166153785584255,0.03217282780599767,-0.042791553653822235,0.08465382372319022,True
donor_expression_pca_covres,covariates_only,0.006858710562414272,0.006604378274460333,0.03431364606570597,-0.06191042655048941,0.07392833472317956,True
donor_mean_hvg_covres,covariates_only,0.023319615912208436,0.023172300116122452,0.03279504114388886,-0.04215137310685082,0.08715765655906817,True
