cohort,method_id,stage,modality,fold_type,n_donors,auc,sha256_oof,status
GSE135779,donor_expression_pca,reproduce,expression,authoritative_primary,44,0.9146,aa4e403e5251d3f637b44f1021e68273ed7734591930207db6ff1e117ef1bcbe,COMPLETED
GSE135779,donor_mean_hvg,reproduce,expression,authoritative_primary,44,0.8926,9d8e117b7e4b266d6154b073444e4f084302e0475c235f85d965adbf7de85475,COMPLETED
GSE135779,geneformer_mean,reproduce,geneformer,authoritative_primary,44,0.9256,a8054151117e7c82d78f4e3fd5e5551d3c4b1d1da5ca141cad967120e7032e9b,COMPLETED
GSE135779,isg_scalar,reproduce,expression,authoritative_primary,44,0.8678,41f9e368e669b3e8265dd647b6e32e9aef5ee692d56cb3d0152c5f95adcd3a81,COMPLETED
GSE135779,isg_vector,reproduce,expression,authoritative_primary,44,0.876,2520d33566df558eaa39ab3a486d25a5203b8c06c618a0afbee775cd140d25e1,COMPLETED
GSE135779,raw_pseudobulk,reproduce,expression,authoritative_primary,44,0.9725,55e16941f390de27bd614c057dba1e37cbd14a1b5d3cbbbe431e2a4b893e70ac,COMPLETED
GSE135779,scgpt_mean,reproduce,scgpt,authoritative_primary,44,0.8457,ac6871ef17bc9646e5f986821e8d8e446254363aa97c70b05906fa17062dc673,COMPLETED
GSE135779,kme_multiscale__geneformer,benchmark_fixed,geneformer,authoritative_primary,44,0.8926,d49be98ca8907e2508f643ba6c47c046978ac190877a931d701e0d1f251e2116,COMPLETED
GSE135779,kme_multiscale__scgpt,benchmark_fixed,scgpt,authoritative_primary,44,0.8733,b472c3426742cf3c662baa16c7443a52027b36547e36cb9102e5a33a2adb14a3,COMPLETED
GSE135779,moments_mean_var__geneformer,benchmark_fixed,geneformer,authoritative_primary,44,0.9421,5016944995db306aa6a33dab8284eb4dc4bdc6483b2c0d5b1f972fa723f2700a,COMPLETED
GSE135779,moments_mean_var__scgpt,benchmark_fixed,scgpt,authoritative_primary,44,0.9256,01d177d94f85a9b7db2e5aeb72941669099e3bb8ac5c589c40620553e6b694d7,COMPLETED
GSE135779,prototype_histogram__geneformer,benchmark_fixed,geneformer,authoritative_primary,44,0.9421,fafbf1a58d4339669c169a319b6cb5a8c593ba9a10107e37a89da7a4d45b6e7c,COMPLETED
GSE135779,prototype_histogram__scgpt,benchmark_fixed,scgpt,authoritative_primary,44,0.9091,fc0bacff067476a72e02a64a7cd2a4da888d2f717201bec593d70ea17cc7614f,COMPLETED
GSE135779,quantiles__geneformer,benchmark_fixed,geneformer,authoritative_primary,44,0.9174,31bba32caefded310b8a16fc7319bd8a70a14606bbb082b7be5ebe14d7f564d3,COMPLETED
GSE135779,quantiles__scgpt,benchmark_fixed,scgpt,authoritative_primary,44,0.9091,98de9f0edd4a9a1b42fd1a1771f851a1a6336e43a6b0939a4d7a287c6326223f,COMPLETED
GSE135779,tail_fractions__geneformer,benchmark_fixed,geneformer,authoritative_primary,44,0.9614,658d8fb4ab77765ff3c8b6b3825d3616b4ea4512f98c729837c9b7ba38290705,COMPLETED
GSE135779,tail_fractions__scgpt,benchmark_fixed,scgpt,authoritative_primary,44,0.9091,4e2d4b76f2619c68b2a6e4c928c87c9a117af6c7b35e3c2d2ce274bbd2806ce4,COMPLETED
GSE135779,cckme_u__geneformer,originals,geneformer,authoritative_primary,44,0.9036,f99b96eaf22ad46e34ec195cdb77c4293c0b9438038a3704271d554476341e4d,COMPLETED
GSE135779,cckme_u__scgpt,originals,scgpt,authoritative_primary,44,0.9174,746766c2eb6339ffe3b9a6718414666570596ee3912d074bcd6658a9da9a0047,COMPLETED
GSE135779,focus_lite__geneformer,originals,geneformer,authoritative_primary,44,0.9614,07a60aba589cd79c7657c8f013b7fdff57b4d8d2bb432d94be5ac619d8e32eed,COMPLETED
GSE135779,focus_lite__scgpt,originals,scgpt,authoritative_primary,44,0.9669,81f13c2ef13d6e46ef1c9972539c3d8af9bcd211bd71b7ba1a66d353c83020c6,COMPLETED
