gene,mean_sle,mean_control,delta_mean,cohen_d,welch_t,p_value,fdr_bh,auc_sle_high,discriminative_auc,n_sle_donors,n_control_donors,abs_cohen_d
EPSTI1,0.2818204,0.079203345,0.20261705,1.7561596158883126,16.625246,0.0,0.0,0.934094,0.934094,162,99,1.7561596158883126
ISG15,0.7531363,0.2911124,0.46202388,1.4454091909067546,14.2129135,2.4648682e-31,4.932036943653333e-27,0.9041651,0.9041651,162,99,1.4454091909067546
IFI27,0.3190346,0.033613417,0.2854212,1.077137923318379,10.770234,8.185671e-21,1.0454669335914892e-17,0.8951864,0.8951864,162,99,1.077137923318379
SPATS2L,0.06969283,0.012876961,0.056815866,1.1376006776769891,11.343695,1.7141123e-22,3.5480942463586206e-19,0.8741115,0.8741115,162,99,1.1376006776769891
IFI44,0.1621158,0.049964268,0.11215153,1.3490988845441714,13.332569,1.6044859e-28,1.9262815921039997e-24,0.87392443,0.87392443,162,99,1.3490988845441714
RPS28,4.1477923,4.3458176,-0.19802523,-1.5434696547723965,-13.531002,6.500653e-32,1.95110599142e-27,0.12620027,0.87379974,162,99,1.5434696547723965
NPDC1,0.10095243,0.038688682,0.06226375,1.3016955962597991,12.326052,6.83442e-27,5.860808053714286e-23,0.8734256,0.8734256,162,99,1.3016955962597991
USP18,0.08034214,0.015266436,0.0650757,1.1796363671173002,11.766898,1.13606375e-23,3.4097817392499996e-20,0.86899865,0.86899865,162,99,1.1796363671173002
OAS1,0.10256356,0.025022086,0.07754147,1.152523871402792,11.432726,6.6249384e-23,1.472895563982222e-19,0.8605499,0.8605499,162,99,1.152523871402792
MDS2,0.049137715,0.08723459,-0.03809687,-1.5119151164716345,-11.543906,1.0567157e-23,3.338554212610527e-20,0.14365882,0.8563412,162,99,1.5119151164716345
IFI6,0.6027275,0.25163585,0.35109162,1.3293447327922367,13.071015,5.6637266e-28,5.666369672413334e-24,0.85453296,0.85453296,162,99,1.3293447327922367
TNFRSF4,0.15186308,0.066229545,0.08563354,1.252190622147918,11.66233,4.398578e-25,2.2003153348666668e-21,0.8531612,0.8531612,162,99,1.252190622147918
IFI44L,0.4566386,0.06465932,0.39197928,1.2688968718788207,12.667907,3.5398688e-26,2.65614055408e-22,0.85222596,0.85222596,162,99,1.2688968718788207
ETV7,0.012458025,0.0029765838,0.009481441,1.017261711838203,9.780321,8.639115e-19,7.007956692162162e-16,0.8432473,0.8432473,162,99,1.017261711838203
OASL,0.03136487,0.0091614835,0.022203386,1.1563632395958112,11.376091,5.4948706e-23,1.2686388168338462e-19,0.8426861,0.8426861,162,99,1.1563632395958112
LY6E,1.0286151,0.60854614,0.42006898,1.3735024441869028,12.983821,4.8247205e-29,7.24045805435e-25,0.8421873,0.8421873,162,99,1.3735024441869028
PDE4B,0.17654595,0.099137135,0.07740881,1.2445817211417092,11.256573,4.3798954e-24,1.7527757404746668e-20,0.84200025,0.84200025,162,99,1.2445817211417092
CYCS,0.50338745,0.349479,0.15390846,1.3161093584741077,11.860026,4.1610434000000003e-26,2.775323480168889e-22,0.84187555,0.84187555,162,99,1.3161093584741077
CMC2,0.12382542,0.089240246,0.034585178,1.2953854471695347,11.099358,1.2567278e-23,3.592326494209524e-20,0.8413144,0.8413144,162,99,1.2953854471695347
