direction,method_id,auc,pr_auc,brier,calibration_intercept,calibration_slope,n_donors,n_cases,n_controls,auc_ci_method,auc_ci_low,auc_ci_high,auc_se,pr_auc_ci_method,pr_auc_ci_low,pr_auc_ci_high
GSE285773_to_GSE174188_CD4,scgpt_mean,0.7304526748971194,0.8448887139098558,0.44324139019710257,1.8066359326431314,0.17409966250197284,261,162,99,Hanley-McNeil,0.6703684118340678,0.790536937960171,0.030655799564169844,stratified_donor_bootstrap,0.8084179656331868,0.8803712823366281
GSE285773_to_GSE174188_CD4,donor_expression_pca,0.7902481606185309,0.8960820437656338,0.25202926258883435,1.97206441643907,1.460754245674476,261,162,99,Hanley-McNeil,0.7367181255003968,0.8437781957366649,0.027311744266921296,stratified_donor_bootstrap,0.8676031280976783,0.9236656949665251
GSE285773_to_GSE174188_CD4,donor_mean_hvg,0.8063973063973064,0.892523780030783,0.31312232162133025,1.7111328871815645,0.40340482398586774,261,162,99,Hanley-McNeil,0.7549204752807246,0.8578741375138883,0.02626417195551783,stratified_donor_bootstrap,0.8615221641248367,0.9218637541061981
GSE174188_CD4_to_GSE285773,scgpt_mean,0.8812500000000001,0.9350561787269915,0.615317842565787,218.29132016334404,15.78725651459207,26,16,10,Hanley-McNeil,0.7504618929987708,1.0,0.06672985219772878,stratified_donor_bootstrap,0.8560680835155108,0.9901887214589774
GSE174188_CD4_to_GSE285773,donor_expression_pca,0.9312499999999999,0.96875,0.1830715379458473,-1.7784492224101287,0.6875680835814147,26,16,10,Hanley-McNeil,0.8328057328065979,1.0,0.05022758987915997,stratified_donor_bootstrap,0.9166666666666666,1.0
GSE174188_CD4_to_GSE285773,donor_mean_hvg,0.8999999999999999,0.9526785714285715,0.4764573628694286,18.071440760958954,1.3762770677433058,26,16,10,Hanley-McNeil,0.7803366661966851,1.0,0.061053843206918035,stratified_donor_bootstrap,0.8870313287123149,1.0
