level,n_donors,max_abs_diff,mean_abs_diff,n_exact_equal,all_exact_equal,pearson_r,spearman_r
25,237,0.6614152483973134,0.07279724992700656,0,False,0.9424789766355465,0.9555988454167335
50,237,0.739056719260893,0.0638560312776421,0,False,0.9494693563266472,0.9673862679592325
100,237,0.573584186846083,0.051755069426071894,0,False,0.9682334067054912,0.975915832971249
200,237,0.6135596644106874,0.05523313746133973,0,False,0.9633021482807762,0.9741246423478208
500,237,0.690499708506529,0.05972305947698173,0,False,0.9573877662834354,0.9760826021032744
