cohort,estimand,split_id,method_id,n_donors,roc_auc,pr_auc,brier
GSE135779_matched500,matched_500_cells_per_donor,0,attention_mil@geneformer,44,0.9641873278236914,0.9896063366458102,0.08892307928418756
GSE135779_matched500,matched_500_cells_per_donor,0,attention_mil@scgpt,44,0.8732782369146005,0.9575787889087468,0.12954513865446782
GSE135779_matched500,matched_500_cells_per_donor,0,cckme_u@geneformer,44,0.9035812672176308,0.9692962328677786,0.1785419674343691
GSE135779_matched500,matched_500_cells_per_donor,0,cckme_u@scgpt,44,0.9173553719008265,0.9741508440981361,0.17536827450581013
GSE135779_matched500,matched_500_cells_per_donor,0,donor_expression_pca,44,0.9146005509641874,0.9719600178864506,0.1123485995524841
GSE135779_matched500,matched_500_cells_per_donor,0,donor_mean_hvg,44,0.8925619834710743,0.9547473394585266,0.18118626272427443
GSE135779_matched500,matched_500_cells_per_donor,0,focus_lite@geneformer,44,0.9614325068870524,0.987258823269795,0.10371474679116113
GSE135779_matched500,matched_500_cells_per_donor,0,focus_lite@scgpt,44,0.9669421487603306,0.9902343521402421,0.08809790987394146
GSE135779_matched500,matched_500_cells_per_donor,0,geneformer_mean,44,0.9256198347107438,0.9742453404980196,0.15681687065190134
GSE135779_matched500,matched_500_cells_per_donor,0,isg_scalar,44,0.8677685950413224,0.9608644971337617,0.16798402028049997
GSE135779_matched500,matched_500_cells_per_donor,0,isg_vector,44,0.8760330578512397,0.962976776383246,0.1541586413973734
GSE135779_matched500,matched_500_cells_per_donor,0,kme_multiscale@geneformer,44,0.8925619834710744,0.9642163754218223,0.19266906462018235
GSE135779_matched500,matched_500_cells_per_donor,0,kme_multiscale@scgpt,44,0.8732782369146005,0.9576441762633625,0.19765602162592535
GSE135779_matched500,matched_500_cells_per_donor,0,moments_mean_var@geneformer,44,0.9421487603305785,0.9812288727833598,0.13549005135529307
GSE135779_matched500,matched_500_cells_per_donor,0,moments_mean_var@scgpt,44,0.9256198347107438,0.9767166512198027,0.1434942044522655
GSE135779_matched500,matched_500_cells_per_donor,0,prototype_histogram@geneformer,44,0.9421487603305785,0.9808945899091267,0.10359438992022217
GSE135779_matched500,matched_500_cells_per_donor,0,prototype_histogram@scgpt,44,0.9090909090909091,0.9652205309638741,0.11737720251634869
GSE135779_matched500,matched_500_cells_per_donor,0,quantiles@geneformer,44,0.9173553719008265,0.9744085573410801,0.16059317283970848
GSE135779_matched500,matched_500_cells_per_donor,0,quantiles@scgpt,44,0.9090909090909091,0.9716821952691306,0.14794662982343365
GSE135779_matched500,matched_500_cells_per_donor,0,raw_pseudobulk,44,0.9724517906336088,0.9911149656320726,0.19202424959022657
GSE135779_matched500,matched_500_cells_per_donor,0,red@geneformer,44,0.9641873278236914,0.9886863666565413,0.10561414018836994
GSE135779_matched500,matched_500_cells_per_donor,0,red@scgpt,44,0.955922865013774,0.9869727390296257,0.09227129658602896
GSE135779_matched500,matched_500_cells_per_donor,0,scgpt_mean,44,0.8457300275482094,0.9512245606875549,0.16357355010538047
GSE135779_matched500,matched_500_cells_per_donor,0,tail_fractions@geneformer,44,0.9614325068870524,0.9870529111015172,0.10171927169582676
GSE135779_matched500,matched_500_cells_per_donor,0,tail_fractions@scgpt,44,0.9090909090909091,0.9734437270570808,0.14661249891308317
GSE135779_matched500,matched_500_cells_per_donor,0,uder_kme@scgpt,44,0.8980716253443526,0.9642316806273598,0.18569465714078406
GSE135779_matched500,matched_500_cells_per_donor,0,uder_meanvar@scgpt,44,0.8044077134986227,0.9405612344696428,0.22716692404168304
