method_id,n_donors,n_sle,n_control,auc,pr_auc,brier,feature_dim
covariates_only,261,162,99,0.846489587230328,0.9047501462486637,0.1617672462737277,13
scgpt_mean_covres,261,162,99,0.8682504052874422,0.895995167899231,0.14798805252516722,13
donor_expression_pca_covres,261,162,99,0.8533482977927422,0.8695387931913343,0.15592612139822348,13
donor_mean_hvg_covres,261,162,99,0.8698092031425364,0.8955741859825721,0.1686960819602988,13
