estimand,level,repeat,method,n_donors,n_sle,n_control,auc,pr_auc,brier
common_support,25,0,scgpt_mean,237,141,96,0.9451832151300237,0.9641620361970481,0.10311976582031018
common_support,25,0,donor_expression_pca,237,141,96,0.9625443262411347,0.9752988403857188,0.07705796701705754
common_support,25,0,kme_multiscale@scgpt,237,141,96,0.9441489361702128,0.9609064014604898,0.10331639900295835
common_support,25,1,scgpt_mean,237,141,96,0.9336583924349882,0.9560267022705582,0.11478141334784503
common_support,25,1,donor_expression_pca,237,141,96,0.9606973995271868,0.9728434177637693,0.07783739504791519
common_support,25,1,kme_multiscale@scgpt,237,141,96,0.9335106382978724,0.9550549261739468,0.11639691550906553
common_support,25,2,scgpt_mean,237,141,96,0.9353575650118203,0.9584123488259559,0.10752393407699386
common_support,25,2,donor_expression_pca,237,141,96,0.9557476359338062,0.9701473635556576,0.08432958897489778
common_support,25,2,kme_multiscale@scgpt,237,141,96,0.9220596926713948,0.9508789303085075,0.13229330777883067
common_support,25,3,scgpt_mean,237,141,96,0.9399379432624113,0.9622875183621216,0.10692907283829031
common_support,25,3,donor_expression_pca,237,141,96,0.964982269503546,0.9769220583629756,0.07836022101979703
common_support,25,3,kme_multiscale@scgpt,237,141,96,0.9432624113475178,0.9631148196263317,0.11271020741111763
common_support,25,4,scgpt_mean,237,141,96,0.9281914893617021,0.9538694944889752,0.12225794767549733
common_support,25,4,donor_expression_pca,237,141,96,0.9585549645390071,0.9737179975610906,0.08424717297662399
common_support,25,4,kme_multiscale@scgpt,237,141,96,0.9260490543735225,0.9529731901277334,0.1288487806862983
common_support,25,5,scgpt_mean,237,141,96,0.951315011820331,0.9697032448841076,0.08588245694354868
common_support,25,5,donor_expression_pca,237,141,96,0.9614361702127661,0.9756888894148321,0.08002395279302027
common_support,25,5,kme_multiscale@scgpt,237,141,96,0.9479166666666666,0.9689840603927848,0.10201106093105737
common_support,25,6,scgpt_mean,237,141,96,0.9553782505910167,0.9726169845179571,0.08454475490094195
common_support,25,6,donor_expression_pca,237,141,96,0.9612145390070921,0.9752329437983418,0.07782000855265218
common_support,25,6,kme_multiscale@scgpt,237,141,96,0.9321808510638298,0.9515633344239014,0.12017672001234664
common_support,25,7,scgpt_mean,237,141,96,0.9269355791962175,0.9485648403837992,0.1174865667444307
common_support,25,7,donor_expression_pca,237,141,96,0.9587027186761229,0.9737699306679273,0.08007529706718039
common_support,25,7,kme_multiscale@scgpt,237,141,96,0.9250147754137116,0.9455866133961339,0.12509195724459957
common_support,25,8,scgpt_mean,237,141,96,0.9321808510638299,0.95757919318941,0.11186656858231975
common_support,25,8,donor_expression_pca,237,141,96,0.9620271867612293,0.9726757008141348,0.07789510947422501
common_support,25,8,kme_multiscale@scgpt,237,141,96,0.9489509456264775,0.9665167161283447,0.10819530281987148
common_support,25,9,scgpt_mean,237,141,96,0.9261968085106383,0.9519663918862569,0.12309778796352235
common_support,25,9,donor_expression_pca,237,141,96,0.9567080378250591,0.972470675589374,0.08553764393418344
common_support,25,9,kme_multiscale@scgpt,237,141,96,0.9359485815602837,0.9555303765259144,0.11089224454006523
common_support,50,0,scgpt_mean,237,141,96,0.9655732860520094,0.9775006236239747,0.07351556813570762
common_support,50,0,donor_expression_pca,237,141,96,0.9783540189125295,0.9842730564107135,0.061366874232152306
common_support,50,0,kme_multiscale@scgpt,237,141,96,0.9640957446808511,0.9760671322762352,0.07916151992500063
common_support,50,1,scgpt_mean,237,141,96,0.949394208037825,0.9674015172274006,0.09382533211808006
common_support,50,1,donor_expression_pca,237,141,96,0.9697104018912529,0.9807703707703224,0.07017904103870597
common_support,50,1,kme_multiscale@scgpt,237,141,96,0.9459958628841607,0.9636644738968347,0.10605274280665754
common_support,50,2,scgpt_mean,237,141,96,0.9511672576832151,0.9687963380550344,0.09116978852556183
common_support,50,2,donor_expression_pca,237,141,96,0.9664598108747045,0.9757058929097938,0.07509515731810001
common_support,50,2,kme_multiscale@scgpt,237,141,96,0.9385342789598109,0.9607090627415418,0.10546918930472285
common_support,50,3,scgpt_mean,237,141,96,0.9499113475177305,0.9676745090550573,0.09546597015455693
common_support,50,3,donor_expression_pca,237,141,96,0.972517730496454,0.9830414585008076,0.06626461090482015
common_support,50,3,kme_multiscale@scgpt,237,141,96,0.9512411347517731,0.9679647228205781,0.10452650106039582
common_support,50,4,scgpt_mean,237,141,96,0.9527186761229315,0.9698464527278821,0.09087982642372791
common_support,50,4,donor_expression_pca,237,141,96,0.97798463356974,0.9846140069067364,0.06661179383127878
common_support,50,4,kme_multiscale@scgpt,237,141,96,0.9431146572104019,0.9642380721983175,0.10505661614461863
common_support,50,5,scgpt_mean,237,141,96,0.9584810874704492,0.973496275114929,0.07949512498805096
common_support,50,5,donor_expression_pca,237,141,96,0.9688238770685579,0.9788858088615722,0.07136017399282511
common_support,50,5,kme_multiscale@scgpt,237,141,96,0.9496897163120568,0.965148652624365,0.10172766073822984
common_support,50,6,scgpt_mean,237,141,96,0.970596926713948,0.9823292221317317,0.06808992630681567
common_support,50,6,donor_expression_pca,237,141,96,0.9674202127659575,0.9804333827821136,0.07234726800649548
common_support,50,6,kme_multiscale@scgpt,237,141,96,0.9632830969267139,0.977460216614479,0.08130220302354388
common_support,50,7,scgpt_mean,237,141,96,0.9471040189125295,0.9643805813442822,0.10098263447909504
common_support,50,7,donor_expression_pca,237,141,96,0.9657210401891253,0.9780986878913559,0.07444668980622594
common_support,50,7,kme_multiscale@scgpt,237,141,96,0.9272310874704492,0.9517257543801612,0.13312248370287405
common_support,50,8,scgpt_mean,237,141,96,0.942893026004728,0.9638628594612367,0.10315511633122089
common_support,50,8,donor_expression_pca,237,141,96,0.9677157210401891,0.9787156196364521,0.07393008048752758
common_support,50,8,kme_multiscale@scgpt,237,141,96,0.9477689125295508,0.9669616098312223,0.10580264148056957
common_support,50,9,scgpt_mean,237,141,96,0.9385342789598108,0.9630159552797838,0.10270019360080816
common_support,50,9,donor_expression_pca,237,141,96,0.9614361702127658,0.9737932964204248,0.07625002989361879
common_support,50,9,kme_multiscale@scgpt,237,141,96,0.9488031914893618,0.9688327792847693,0.10020911518903892
common_support,100,0,scgpt_mean,237,141,96,0.9745862884160756,0.9830640287981591,0.06497810267658191
common_support,100,0,donor_expression_pca,237,141,96,0.9804225768321513,0.986175929161656,0.05811619003635938
common_support,100,0,kme_multiscale@scgpt,237,141,96,0.9775413711583925,0.9846473276195715,0.062453141879834737
common_support,100,1,scgpt_mean,237,141,96,0.9659426713947991,0.9790253957026017,0.07634392526546135
common_support,100,1,donor_expression_pca,237,141,96,0.9784278959810875,0.9856158432611115,0.06302588919095556
common_support,100,1,kme_multiscale@scgpt,237,141,96,0.9618794326241135,0.9762060727707029,0.08961005265863631
common_support,100,2,scgpt_mean,237,141,96,0.9647606382978723,0.9786058805315022,0.07480362196247495
common_support,100,2,donor_expression_pca,237,141,96,0.9774674940898345,0.9841022964800418,0.0643554130127718
common_support,100,2,kme_multiscale@scgpt,237,141,96,0.9554521276595745,0.9738468478657083,0.08924536238255909
common_support,100,3,scgpt_mean,237,141,96,0.960401891252955,0.9755857551112774,0.0831527872563009
common_support,100,3,donor_expression_pca,237,141,96,0.9735520094562647,0.9829810890975547,0.06699041173194122
common_support,100,3,kme_multiscale@scgpt,237,141,96,0.9756205673758864,0.9840307009442216,0.0682925370903901
common_support,100,4,scgpt_mean,237,141,96,0.9593676122931442,0.9749470961747507,0.08526256246044325
common_support,100,4,donor_expression_pca,237,141,96,0.9795360520094561,0.9861517993084379,0.0648057717070899
common_support,100,4,kme_multiscale@scgpt,237,141,96,0.9565602836879432,0.9724184201491273,0.09072209608211985
common_support,100,5,scgpt_mean,237,141,96,0.9663859338061467,0.9774022285449645,0.07965591388083967
common_support,100,5,donor_expression_pca,237,141,96,0.9701536643026004,0.979796983350583,0.06775061144334817
common_support,100,5,kme_multiscale@scgpt,237,141,96,0.9618055555555556,0.9715995518608025,0.08517139770494282
common_support,100,6,scgpt_mean,237,141,96,0.9666814420803783,0.9798668993572317,0.07525397430288684
common_support,100,6,donor_expression_pca,237,141,96,0.9750295508274232,0.9848254911491019,0.06425738126942593
common_support,100,6,kme_multiscale@scgpt,237,141,96,0.9735520094562647,0.9812062711643385,0.06586947658688874
common_support,100,7,scgpt_mean,237,141,96,0.9565602836879432,0.9714866763905584,0.08728933541361072
common_support,100,7,donor_expression_pca,237,141,96,0.9746601654846336,0.9838280274061265,0.06740160429285369
common_support,100,7,kme_multiscale@scgpt,237,141,96,0.9445921985815603,0.9631736978824544,0.10564477731348956
common_support,100,8,scgpt_mean,237,141,96,0.9610667848699763,0.9750007360849554,0.07849483113333972
common_support,100,8,donor_expression_pca,237,141,96,0.9781323877068557,0.9864550485498462,0.06497685457343749
common_support,100,8,kme_multiscale@scgpt,237,141,96,0.968823877068558,0.9760607050730468,0.07303884039618387
common_support,100,9,scgpt_mean,237,141,96,0.951388888888889,0.9706863573772488,0.09213977762283158
common_support,100,9,donor_expression_pca,237,141,96,0.9633569739952719,0.9763556519377306,0.07710982826075047
common_support,100,9,kme_multiscale@scgpt,237,141,96,0.9482121749408984,0.9668290106713068,0.10541769997951994
