gene,mean_sle,mean_control,delta_mean,cohen_d,welch_t,p_value,fdr_bh,auc_sle_high,discriminative_auc,n_sle_donors,n_control_donors,abs_cohen_d
EPSTI1,0.2818204,0.079203345,0.20261705,1.7561596158883126,16.625246,0.0,0.0,0.934094,0.934094,162,99,1.7561596158883126
ISG15,0.7531363,0.2911124,0.46202388,1.4454091909067546,14.2129135,2.4648682e-31,4.932036943653333e-27,0.9041651,0.9041651,162,99,1.4454091909067546
PSME2,0.7565807,0.5396299,0.21695083,1.3856662647975393,11.672815,2.0343781e-25,1.221196485868e-21,0.8405038,0.8405038,162,99,1.3856662647975393
LY6E,1.0286151,0.60854614,0.42006898,1.3735024441869028,12.983821,4.8247205e-29,7.24045805435e-25,0.8421873,0.8421873,162,99,1.3735024441869028
IFI44,0.1621158,0.049964268,0.11215153,1.3490988845441714,13.332569,1.6044859e-28,1.9262815921039997e-24,0.87392443,0.87392443,162,99,1.3490988845441714
CIAO2B,0.30358985,0.22398989,0.07959996,1.3433078608147768,11.236492,6.2287319999999996e-24,2.3368645280999998e-20,0.8324604,0.8324604,162,99,1.3433078608147768
IFI6,0.6027275,0.25163585,0.35109162,1.3293447327922367,13.071015,5.6637266e-28,5.666369672413334e-24,0.85453296,0.85453296,162,99,1.3293447327922367
CYCS,0.50338745,0.349479,0.15390846,1.3161093584741077,11.860026,4.1610434000000003e-26,2.775323480168889e-22,0.84187555,0.84187555,162,99,1.3161093584741077
NPDC1,0.10095243,0.038688682,0.06226375,1.3016955962597991,12.326052,6.83442e-27,5.860808053714286e-23,0.8734256,0.8734256,162,99,1.3016955962597991
CMC2,0.12382542,0.089240246,0.034585178,1.2953854471695347,11.099358,1.2567278e-23,3.592326494209524e-20,0.8413144,0.8413144,162,99,1.2953854471695347
H2AC6,0.11442245,0.07597116,0.03845129,1.2725919932110288,11.358787,1.7085098e-24,7.889109713415385e-21,0.8237935,0.8237935,162,99,1.2725919932110288
IFI44L,0.4566386,0.06465932,0.39197928,1.2688968718788207,12.667907,3.5398688e-26,2.65614055408e-22,0.85222596,0.85222596,162,99,1.2688968718788207
TNFRSF4,0.15186308,0.066229545,0.08563354,1.252190622147918,11.66233,4.398578e-25,2.2003153348666668e-21,0.8531612,0.8531612,162,99,1.252190622147918
CLIC1,0.60849124,0.41778094,0.1907103,1.2514433860037897,10.569777,7.672658e-22,1.31592661264e-18,0.81980294,0.81980294,162,99,1.2514433860037897
TXN,0.46456796,0.3315455,0.13302246,1.2451870945074182,10.975691,2.9061787e-23,7.268837291816666e-20,0.83850855,0.83850855,162,99,1.2451870945074182
PDE4B,0.17654595,0.099137135,0.07740881,1.2445817211417092,11.256573,4.3798954e-24,1.7527757404746668e-20,0.84200025,0.84200025,162,99,1.2445817211417092
XAF1,0.25574195,0.09288134,0.16286062,1.2386984759866255,12.072115,2.554136e-25,1.393815234618182e-21,0.8373862,0.8373862,162,99,1.2386984759866255
KLF6,0.8586829,0.52251714,0.33616573,1.2362733963814256,11.1329565,1.0452503e-23,3.338554212610527e-20,0.8229829,0.8229829,162,99,1.2362733963814256
CARD16,0.39437366,0.28516304,0.10921061,1.2351537095930332,10.585049,5.912865600000001e-22,1.0439338124611766e-18,0.8212371,0.8212371,162,99,1.2351537095930332
