covariate_model,feature,fold_coefficient
sensitivity_processing_cohort_onehot,cells_per_donor,-0.9354243902822446
sensitivity_processing_cohort_onehot,mean_umi_per_cell,-0.9529110624124336
sensitivity_processing_cohort_onehot,mean_genes_per_cell,1.0801039576410976
sensitivity_processing_cohort_onehot,mean_pct_mito,-0.37070500389861744
sensitivity_processing_cohort_onehot,age_from_development_stage,0.3675437664133971
sensitivity_processing_cohort_onehot,n_samples,0.18121591910425805
sensitivity_processing_cohort_onehot,n_libraries,-0.32508950129037967
sensitivity_processing_cohort_onehot,n_suspensions,1.696145412133772
sensitivity_processing_cohort_onehot,sex_female,-0.1608757724991723
sensitivity_processing_cohort_onehot,sex_male,0.1575604102251469
sensitivity_processing_cohort_onehot,processing_cohort_1.0,-2.036868391808107
sensitivity_processing_cohort_onehot,processing_cohort_2.0,2.108157866632263
sensitivity_processing_cohort_onehot,processing_cohort_3.0,0.10200709461671754
sensitivity_processing_cohort_onehot,processing_cohort_4.0,-0.1766119317148997
sensitivity_processing_cohort_onehot,cells_per_donor,-0.8126496267244122
sensitivity_processing_cohort_onehot,mean_umi_per_cell,-1.040225499609895
sensitivity_processing_cohort_onehot,mean_genes_per_cell,1.0767824004421997
sensitivity_processing_cohort_onehot,mean_pct_mito,-0.28733086751098674
sensitivity_processing_cohort_onehot,age_from_development_stage,0.1578723864451308
sensitivity_processing_cohort_onehot,n_samples,0.21377746405483014
sensitivity_processing_cohort_onehot,n_libraries,-0.3189223736955449
sensitivity_processing_cohort_onehot,n_suspensions,1.753762417855934
sensitivity_processing_cohort_onehot,sex_female,-0.1517927987311847
sensitivity_processing_cohort_onehot,sex_male,0.14758973554115631
sensitivity_processing_cohort_onehot,processing_cohort_1.0,-1.9758600331702092
sensitivity_processing_cohort_onehot,processing_cohort_2.0,2.253539090875157
sensitivity_processing_cohort_onehot,processing_cohort_3.0,-0.04173823344753683
sensitivity_processing_cohort_onehot,processing_cohort_4.0,-0.2401438874474395
sensitivity_processing_cohort_onehot,cells_per_donor,-0.5141187867567354
sensitivity_processing_cohort_onehot,mean_umi_per_cell,-0.9965007698708089
sensitivity_processing_cohort_onehot,mean_genes_per_cell,1.2552345829181701
sensitivity_processing_cohort_onehot,mean_pct_mito,-0.26293831157837316
sensitivity_processing_cohort_onehot,age_from_development_stage,0.32394533346638477
sensitivity_processing_cohort_onehot,n_samples,0.3002161393776889
sensitivity_processing_cohort_onehot,n_libraries,-0.6749828376426565
sensitivity_processing_cohort_onehot,n_suspensions,1.6187841436188035
sensitivity_processing_cohort_onehot,sex_female,-0.17521776546171206
sensitivity_processing_cohort_onehot,sex_male,0.13562603347105034
sensitivity_processing_cohort_onehot,processing_cohort_1.0,-2.1175445358079705
sensitivity_processing_cohort_onehot,processing_cohort_2.0,2.3653879441141132
sensitivity_processing_cohort_onehot,processing_cohort_3.0,-0.25352572181926436
sensitivity_processing_cohort_onehot,processing_cohort_4.0,-0.03390941847754107
sensitivity_processing_cohort_onehot,cells_per_donor,-0.7595227900656379
sensitivity_processing_cohort_onehot,mean_umi_per_cell,-1.0826795407110996
sensitivity_processing_cohort_onehot,mean_genes_per_cell,1.3297947708792028
sensitivity_processing_cohort_onehot,mean_pct_mito,-0.2739053405223015
sensitivity_processing_cohort_onehot,age_from_development_stage,0.19819774355835998
sensitivity_processing_cohort_onehot,n_samples,0.15977583192594996
sensitivity_processing_cohort_onehot,n_libraries,-0.4755513744643077
sensitivity_processing_cohort_onehot,n_suspensions,1.6775775748742268
sensitivity_processing_cohort_onehot,sex_female,-0.38789573954017964
sensitivity_processing_cohort_onehot,sex_male,0.4036811728275699
sensitivity_processing_cohort_onehot,processing_cohort_1.0,-2.1284797651941902
sensitivity_processing_cohort_onehot,processing_cohort_2.0,2.288620088043867
sensitivity_processing_cohort_onehot,processing_cohort_3.0,-0.09113565042579884
sensitivity_processing_cohort_onehot,processing_cohort_4.0,-0.053219239136487816
sensitivity_processing_cohort_onehot,cells_per_donor,-0.7174150704226907
sensitivity_processing_cohort_onehot,mean_umi_per_cell,-1.1541397385766574
sensitivity_processing_cohort_onehot,mean_genes_per_cell,1.2949695996285062
sensitivity_processing_cohort_onehot,mean_pct_mito,-0.31356598505611705
sensitivity_processing_cohort_onehot,age_from_development_stage,0.2176884659236733
sensitivity_processing_cohort_onehot,n_samples,0.16788190916361823
sensitivity_processing_cohort_onehot,n_libraries,-0.2718945018181372
sensitivity_processing_cohort_onehot,n_suspensions,1.5681383770032458
sensitivity_processing_cohort_onehot,sex_female,-0.10557944652364262
sensitivity_processing_cohort_onehot,sex_male,0.09271563392553829
sensitivity_processing_cohort_onehot,processing_cohort_1.0,-2.0035716775370194
sensitivity_processing_cohort_onehot,processing_cohort_2.0,2.2309570254028124
sensitivity_processing_cohort_onehot,processing_cohort_3.0,-0.03566638016804599
sensitivity_processing_cohort_onehot,processing_cohort_4.0,-0.2045827802958527
leave_out_technical_depth,age_from_development_stage,0.5860769646362705
leave_out_technical_depth,n_samples,0.3313556914747525
leave_out_technical_depth,n_libraries,-0.5232156739623023
leave_out_technical_depth,n_suspensions,1.4091993657183866
leave_out_technical_depth,processing_cohort,-0.1675077063005144
leave_out_technical_depth,sex_female,-0.7413274784645802
leave_out_technical_depth,sex_male,0.7435819694707977
leave_out_technical_depth,age_from_development_stage,0.38298012356949507
leave_out_technical_depth,n_samples,0.35899184713933247
leave_out_technical_depth,n_libraries,-0.4212489587654782
leave_out_technical_depth,n_suspensions,1.4831702828277944
leave_out_technical_depth,processing_cohort,-0.13864978790879082
leave_out_technical_depth,sex_female,-0.5363651443761052
leave_out_technical_depth,sex_male,0.5352445549834866
leave_out_technical_depth,age_from_development_stage,0.5865766383098455
leave_out_technical_depth,n_samples,0.4053717276940617
leave_out_technical_depth,n_libraries,-0.5879784001688672
leave_out_technical_depth,n_suspensions,1.432064304660974
leave_out_technical_depth,processing_cohort,-0.2143331761698371
leave_out_technical_depth,sex_female,-0.461628105820491
leave_out_technical_depth,sex_male,0.4629423121012527
leave_out_technical_depth,age_from_development_stage,0.5442135556144136
leave_out_technical_depth,n_samples,0.33573171874330415
leave_out_technical_depth,n_libraries,-0.49767529874140987
leave_out_technical_depth,n_suspensions,1.4270140201628423
leave_out_technical_depth,processing_cohort,-0.2690446519476018
leave_out_technical_depth,sex_female,-0.7079168746819111
leave_out_technical_depth,sex_male,0.7083887211435813
leave_out_technical_depth,age_from_development_stage,0.45365686052868703
leave_out_technical_depth,n_samples,0.31394741242010993
leave_out_technical_depth,n_libraries,-0.3718849340088708
leave_out_technical_depth,n_suspensions,1.349339045720282
leave_out_technical_depth,processing_cohort,-0.20008387466127792
leave_out_technical_depth,sex_female,-0.5263193716238533
leave_out_technical_depth,sex_male,0.5258477206932461
leave_out_demographic,cells_per_donor,-1.2321546691786605
leave_out_demographic,mean_umi_per_cell,-1.6824038480024113
