Unnamed: 0,Cluster 0,Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Cluster 11,Cluster 12,Cluster 13,Cluster 14,Cluster 15,Cluster 16,Cluster 17,Cluster 18,Cluster 19,Cluster 20
cHD1,614,1671,2111,779,1945,536,670,1376,740,51,687,21,385,175,70,1,141,10,112,60,15
cHD2,557,1547,685,320,2478,286,46,925,170,55,329,23,232,116,74,2,36,3,63,23,22
cHD3,950,1213,193,241,1728,445,491,550,1048,105,664,7,185,46,97,1,124,7,34,43,4
cHD4,799,623,225,273,686,618,317,262,596,128,270,26,184,120,261,0,125,5,35,8,4
cHD5,574,552,706,203,100,392,445,309,623,157,373,19,160,160,132,3,83,4,35,23,5
cHD6,1847,1326,420,69,557,584,204,711,194,183,381,18,224,64,323,4,47,5,34,14,12
cHD7,1482,1504,208,116,376,334,158,522,316,124,376,39,268,182,238,5,120,6,49,29,9
cHD8,929,1029,691,30,508,477,324,566,1102,176,276,12,156,90,255,0,96,8,44,43,14
cHD9,1030,894,155,134,470,573,661,686,655,212,616,34,163,110,211,0,96,6,56,19,11
cHD10,527,1040,118,84,1071,675,191,802,193,94,281,13,212,80,201,0,83,6,14,5,10
cHD11,1377,839,232,224,504,476,462,576,468,149,161,23,151,104,249,0,103,13,53,22,13
cSLE1,463,209,130,995,31,57,148,1199,58,197,151,157,141,155,22,0,43,9,49,7,0
cSLE2,647,642,273,534,88,233,520,875,76,316,87,98,102,181,67,1,19,1,37,22,0
cSLE3,383,361,357,945,15,59,76,284,138,237,73,234,115,332,22,0,21,2,17,4,10
cSLE4,1017,640,295,652,35,225,1243,283,157,306,303,82,155,143,86,0,135,3,27,39,0
cSLE5,470,446,172,435,349,278,552,306,122,93,267,10,67,100,87,0,58,2,84,14,4
cSLE6,176,729,264,517,177,538,1554,323,79,196,255,6,63,98,26,1,42,9,36,7,0
cSLE7,574,262,473,417,12,96,247,289,142,243,85,357,97,171,27,17,24,18,15,9,0
cSLE8,965,883,1427,184,96,171,89,207,105,617,191,264,329,60,73,7,27,1,9,6,1
cSLE9,1928,2443,724,1326,1311,721,699,412,548,310,448,203,204,198,196,36,117,3,79,14,2
cSLE10,621,1484,633,2062,3002,491,1024,766,411,59,437,261,589,48,93,15,38,11,42,10,10
cSLE11,143,276,927,3253,5,9,9,1211,792,285,24,714,393,319,3,112,127,13,0,20,76
cSLE12,11,311,245,177,98,358,1033,91,71,78,49,6,15,7,0,148,15,21,14,0,2
cSLE13,143,725,654,173,939,393,735,359,108,31,215,4,199,91,24,0,30,3,36,13,62
cSLE14,14,100,854,1048,35,352,575,6,380,307,107,167,17,40,1,0,87,4,19,10,2
