direction	hybrid_method	reference_method	hybrid_auc	reference_auc	delta_hybrid_minus_reference	delong_standard_error	delong_z	delong_p	delong_p_bh_across_eight_tests
SLE_GSE174188_CD4_to_SLE_GSE285773_CD4	geneformer_plus_hvg	source_hvg_pseudobulk	0.8875	0.94375	-0.05625000000000002	0.03361857125657385	-1.6731823482534454	0.09429140419911462	0.1508662467185834
SLE_GSE174188_CD4_to_SLE_GSE285773_CD4	geneformer_plus_hvg	frozen_geneformer	0.8875	0.9	-0.012500000000000067	0.05474054966638331	-0.22834991749592232	0.8193742209178908	0.9364276810490181
SLE_GSE174188_CD4_to_SLE_GSE285773_CD4	geneformer_plus_pca	source_pca_pseudobulk	0.9	0.98125	-0.08124999999999993	0.047011375691894446	-1.7283050922079015	0.08393354060000957	0.1508662467185834
SLE_GSE174188_CD4_to_SLE_GSE285773_CD4	geneformer_plus_pca	frozen_geneformer	0.9	0.9	0.0	0.020665994612728757	0.0	1.0	1.0
SLE_GSE285773_CD4_to_SLE_GSE174188_CD4	geneformer_plus_hvg	source_hvg_pseudobulk	0.9063474248659433	0.9190672153635117	-0.012719790497568328	0.009700056341626228	-1.3113109913582046	0.1897527164488709	0.25300362193182785
SLE_GSE285773_CD4_to_SLE_GSE174188_CD4	geneformer_plus_hvg	frozen_geneformer	0.9063474248659433	0.8839630876667913	0.022384337199152005	0.008583045876739285	2.6079712867218015	0.009108059408836758	0.03643223763534703
SLE_GSE285773_CD4_to_SLE_GSE174188_CD4	geneformer_plus_pca	source_pca_pseudobulk	0.8898865195161492	0.9263000374111485	-0.03641351789499936	0.011096523701782745	-3.281524815663597	0.001032474388755424	0.008259795110043391
SLE_GSE285773_CD4_to_SLE_GSE174188_CD4	geneformer_plus_pca	frozen_geneformer	0.8898865195161492	0.8839630876667913	0.005923431849357841	0.0027464865090347837	2.156730728467897	0.03102665126854174	0.0827377367161113
