cohort	block	n_donor	n_case	n_design_feature	I_D	I_D_cv	I_D_null_mean	I_D_vs_null	p_I_D	design_auc_linear	design_auc_rf	disease_auc	observed_frozen_auc	p_standard	p_design_preserving	n_strata	degenerate	degenerate_reason	underpowered	underpowered_reason
COMBAT_CROSS	qc	111	100	4	0.5372	0.6245	0.9647	-0.4275	0.005	0.8998	0.9104	0.8849	0.6864	0.06993	0.58841	2	False		True	minority class 11 below 15
COMBAT_CROSS	demographic	111	100	2	0.9863	1.0	0.9813	0.005	0.4776	0.504	0.498	0.8849	0.6864	0.06993	0.58841	2	False		True	minority class 11 below 15
COMBAT_CROSS	batch	111	100	1	0.1708	0.1944	0.9914	-0.8206	0.005	0.9842	0.9838	0.8849	0.6864	0.06993	0.58841	2	False		True	minority class 11 below 15
COMBAT_CROSS	all	111	100	7	0.1432	0.1785	0.9366	-0.7934	0.005	0.9915	0.9956	0.8849	0.6864	0.06993	0.58841	2	False		True	minority class 11 below 15
