cohort	stratum	draw	repeat	seed	method	n_donors	n_cases	roc_auc
GSE135779	mixed_batches_B2_B6	0	9	20260809	hvg_pseudobulk	36	25	0.9490909090909091
GSE135779	mixed_batches_B2_B6	0	10	20260810	hvg_pseudobulk	36	25	0.8690909090909091
GSE135779	mixed_batches_B2_B6	0	11	20260811	hvg_pseudobulk	36	25	0.8909090909090909
GSE135779	mixed_batches_B2_B6	0	12	20260812	hvg_pseudobulk	36	25	0.9490909090909091
GSE135779	mixed_batches_B2_B6	0	13	20260813	hvg_pseudobulk	36	25	0.9527272727272728
GSE135779	mixed_batches_B2_B6	0	14	20260814	hvg_pseudobulk	36	25	0.9309090909090909
GSE135779	mixed_batches_B2_B6	0	15	20260815	hvg_pseudobulk	36	25	0.9236363636363636
GSE135779	mixed_batches_B2_B6	0	16	20260816	hvg_pseudobulk	36	25	0.9418181818181818
GSE135779	mixed_batches_B2_B6	0	17	20260817	hvg_pseudobulk	36	25	0.9163636363636364
GSE135779	mixed_batches_B2_B6	0	18	20260818	hvg_pseudobulk	36	25	0.9309090909090909
GSE135779	mixed_batches_B2_B6	0	19	20260819	hvg_pseudobulk	36	25	0.9090909090909091
GSE135779	mixed_batches_B2_B6	0	20	20260820	hvg_pseudobulk	36	25	0.9090909090909091
GSE135779	mixed_batches_B2_B6	0	1	20260801	pca_pseudobulk	36	25	0.9381818181818182
GSE135779	mixed_batches_B2_B6	0	2	20260802	pca_pseudobulk	36	25	0.8909090909090909
GSE135779	mixed_batches_B2_B6	0	3	20260803	pca_pseudobulk	36	25	0.9381818181818182
GSE135779	mixed_batches_B2_B6	0	4	20260804	pca_pseudobulk	36	25	0.9345454545454546
GSE135779	mixed_batches_B2_B6	0	5	20260805	pca_pseudobulk	36	25	0.8727272727272727
GSE135779	mixed_batches_B2_B6	0	6	20260806	pca_pseudobulk	36	25	0.9272727272727272
GSE135779	mixed_batches_B2_B6	0	7	20260807	pca_pseudobulk	36	25	0.8945454545454545
GSE135779	mixed_batches_B2_B6	0	8	20260808	pca_pseudobulk	36	25	0.92
GSE135779	mixed_batches_B2_B6	0	9	20260809	pca_pseudobulk	36	25	0.9490909090909091
GSE135779	mixed_batches_B2_B6	0	10	20260810	pca_pseudobulk	36	25	0.8690909090909091
GSE135779	mixed_batches_B2_B6	0	11	20260811	pca_pseudobulk	36	25	0.8909090909090909
GSE135779	mixed_batches_B2_B6	0	12	20260812	pca_pseudobulk	36	25	0.9490909090909091
GSE135779	mixed_batches_B2_B6	0	13	20260813	pca_pseudobulk	36	25	0.9527272727272728
GSE135779	mixed_batches_B2_B6	0	14	20260814	pca_pseudobulk	36	25	0.9309090909090909
GSE135779	mixed_batches_B2_B6	0	15	20260815	pca_pseudobulk	36	25	0.9236363636363636
GSE135779	mixed_batches_B2_B6	0	16	20260816	pca_pseudobulk	36	25	0.9418181818181818
GSE135779	mixed_batches_B2_B6	0	17	20260817	pca_pseudobulk	36	25	0.9163636363636364
GSE135779	mixed_batches_B2_B6	0	18	20260818	pca_pseudobulk	36	25	0.9309090909090909
GSE135779	mixed_batches_B2_B6	0	19	20260819	pca_pseudobulk	36	25	0.9090909090909091
GSE135779	mixed_batches_B2_B6	0	20	20260820	pca_pseudobulk	36	25	0.9090909090909091
GSE135779	matched_random_for_mixed_batches_B2_B6	1	1	20260801	geneformer	36	25	0.7672727272727272
GSE135779	matched_random_for_mixed_batches_B2_B6	1	1	20260801	hvg_pseudobulk	36	25	0.8545454545454545
GSE135779	matched_random_for_mixed_batches_B2_B6	1	1	20260801	pca_pseudobulk	36	25	0.8545454545454545
GSE135779	matched_random_for_mixed_batches_B2_B6	2	2	20260802	geneformer	36	25	0.88
GSE135779	matched_random_for_mixed_batches_B2_B6	2	2	20260802	hvg_pseudobulk	36	25	0.9054545454545454
GSE135779	matched_random_for_mixed_batches_B2_B6	2	2	20260802	pca_pseudobulk	36	25	0.9054545454545454
GSE135779	matched_random_for_mixed_batches_B2_B6	3	3	20260803	geneformer	36	25	0.88
GSE135779	matched_random_for_mixed_batches_B2_B6	3	3	20260803	hvg_pseudobulk	36	25	0.9090909090909091
GSE135779	matched_random_for_mixed_batches_B2_B6	3	3	20260803	pca_pseudobulk	36	25	0.9090909090909091
GSE135779	matched_random_for_mixed_batches_B2_B6	4	4	20260804	geneformer	36	25	0.8363636363636363
GSE135779	matched_random_for_mixed_batches_B2_B6	4	4	20260804	hvg_pseudobulk	36	25	0.8981818181818182
GSE135779	matched_random_for_mixed_batches_B2_B6	4	4	20260804	pca_pseudobulk	36	25	0.8981818181818182
GSE135779	matched_random_for_mixed_batches_B2_B6	5	5	20260805	geneformer	36	25	0.8436363636363636
GSE135779	matched_random_for_mixed_batches_B2_B6	5	5	20260805	hvg_pseudobulk	36	25	0.9018181818181819
GSE135779	matched_random_for_mixed_batches_B2_B6	5	5	20260805	pca_pseudobulk	36	25	0.9018181818181819
GSE135779	matched_random_for_mixed_batches_B2_B6	6	6	20260806	geneformer	36	25	0.88
GSE135779	matched_random_for_mixed_batches_B2_B6	6	6	20260806	hvg_pseudobulk	36	25	0.9418181818181818
GSE135779	matched_random_for_mixed_batches_B2_B6	6	6	20260806	pca_pseudobulk	36	25	0.9418181818181818
GSE135779	matched_random_for_mixed_batches_B2_B6	7	7	20260807	geneformer	36	25	0.8727272727272727
GSE135779	matched_random_for_mixed_batches_B2_B6	7	7	20260807	hvg_pseudobulk	36	25	0.9272727272727272
