seed	cohort	n_donor	n_design_feature	design_auc_linear	design_auc_rf	I_D	I_D_cv	I_D_null_mean	p_I_D	disease_auc	p_standard	p_design_preserving
20260907	COMBAT_CROSS	111	7	0.9878	0.9958	0.1432	0.2026	0.9378	0.005	0.8778	0.04298	0.76762
20260908	COMBAT_CROSS	111	7	0.9898	0.9945	0.1432	0.2026	0.9378	0.005	0.8971	0.10995	0.93753
20260909	COMBAT_CROSS	111	7	0.9873	0.9951	0.1432	0.2026	0.9378	0.005	0.9084	0.02749	0.89655
20260910	COMBAT_CROSS	111	7	0.9915	0.9956	0.1432	0.2026	0.9378	0.005	0.8849	0.05997	0.58621
20260911	COMBAT_CROSS	111	7	0.9715	0.9965	0.1432	0.2026	0.9378	0.005	0.8938	0.03648	0.46777
