cohort	block	n_donor	n_case	n_design_feature	I_D	design_auc_linear	design_auc_rf	disease_auc	observed_frozen_auc	p_standard	p_design_preserving	n_strata
COMBAT_COVID	qc	110	100	4	0.8094	0.8942	0.8332	1.0	0.996	0.0002	0.0002	2
COMBAT_COVID	demographic	110	100	2	0.9987	0.3172	0.3489	1.0	0.996	0.0002	0.0002	2
COMBAT_COVID	batch	110	100	1	0.9981	0.5032	0.5	1.0	0.996	0.0002	0.0002	2
COMBAT_COVID	all	110	100	7	0.8074	0.849	0.8328	1.0	0.996	0.0002	0.0002	2
COMBAT_CROSS	qc	111	100	4	0.5372	0.9136	0.9033	0.8971	0.6527	0.11398	0.93561	2
COMBAT_CROSS	demographic	111	100	2	0.9863	0.5039	0.4853	0.8971	0.6527	0.11398	0.93561	2
COMBAT_CROSS	batch	111	100	1	0.1708	0.9835	0.9835	0.8971	0.6527	0.11398	0.93561	2
COMBAT_CROSS	all	111	100	7	0.1432	0.9898	0.9945	0.8971	0.6527	0.11398	0.93561	2
