cohort	n_donor	I_D	design_auc_linear	design_auc_rf	disease_auc	p_standard	p_design_preserving
COMBAT_CROSS	111	0.1432	0.9898	0.9945	0.8971	0.11398	0.93561
COMBAT_COVID	110	0.8074	0.849	0.8328	1.0	0.0002	0.0002
