repeat	support_block	method	adjustment	n_overlap	overlap_lower	overlap_upper	roc_auc_overlap
1	cell_yield	Frozen Geneformer	cell_yield	180	0.29128643361645007	0.6522060011399551	0.9567307692307692
1	cell_yield	Frozen Geneformer	unadjusted	180	0.29128643361645007	0.6522060011399551	0.9696356275303644
1	cell_yield	Mean-HVG pseudobulk	cell_yield	180	0.29128643361645007	0.6522060011399551	0.9754554655870445
1	cell_yield	Mean-HVG pseudobulk	unadjusted	180	0.29128643361645007	0.6522060011399551	0.9838056680161944
1	cell_yield	PCA pseudobulk	cell_yield	180	0.29128643361645007	0.6522060011399551	0.9595141700404859
1	cell_yield	PCA pseudobulk	unadjusted	180	0.29128643361645007	0.6522060011399551	0.9690030364372471
1	qc_core	Frozen Geneformer	qc_core	157	0.238219469709617	0.6729773900038076	0.9489430894308943
1	qc_core	Frozen Geneformer	unadjusted	157	0.238219469709617	0.6729773900038076	0.9764227642276422
1	qc_core	Mean-HVG pseudobulk	qc_core	157	0.238219469709617	0.6729773900038076	0.9747967479674797
1	qc_core	Mean-HVG pseudobulk	unadjusted	157	0.238219469709617	0.6729773900038076	0.9892682926829268
1	qc_core	PCA pseudobulk	qc_core	157	0.238219469709617	0.6729773900038076	0.9546341463414634
1	qc_core	PCA pseudobulk	unadjusted	157	0.238219469709617	0.6729773900038076	0.9692682926829268
1	acquisition_structure	Frozen Geneformer	acquisition_structure	204	0.2769746198704126	0.5189653912415034	0.9753924050632912
1	acquisition_structure	Frozen Geneformer	unadjusted	204	0.2769746198704126	0.5189653912415034	0.9779240506329114
1	acquisition_structure	Mean-HVG pseudobulk	acquisition_structure	204	0.2769746198704126	0.5189653912415034	0.9906835443037975
1	acquisition_structure	Mean-HVG pseudobulk	unadjusted	204	0.2769746198704126	0.5189653912415034	0.9901772151898733
1	acquisition_structure	PCA pseudobulk	acquisition_structure	204	0.2769746198704126	0.5189653912415034	0.9778227848101266
1	acquisition_structure	PCA pseudobulk	unadjusted	204	0.2769746198704126	0.5189653912415034	0.9763037974683544
1	processing_cohort	Frozen Geneformer	processing_cohort	84	0.2978709233589945	0.6444833777719041	0.9098128190584232
1	processing_cohort	Frozen Geneformer	unadjusted	84	0.2978709233589945	0.6444833777719041	0.9137833238797505
1	processing_cohort	Mean-HVG pseudobulk	processing_cohort	84	0.2978709233589945	0.6444833777719041	0.7963698241633579
1	processing_cohort	Mean-HVG pseudobulk	unadjusted	84	0.2978709233589945	0.6444833777719041	0.9489506522972206
1	processing_cohort	PCA pseudobulk	processing_cohort	84	0.2978709233589945	0.6444833777719041	0.9035734543391946
1	processing_cohort	PCA pseudobulk	unadjusted	84	0.2978709233589945	0.6444833777719041	0.9154849688031764
1	demographic	Frozen Geneformer	demographic	225	0.35244450689120727	0.7012664147214897	0.9638514076295186
1	demographic	Frozen Geneformer	unadjusted	225	0.35244450689120727	0.7012664147214897	0.9739297018157589
1	demographic	Mean-HVG pseudobulk	demographic	225	0.35244450689120727	0.7012664147214897	0.9795102448775612
1	demographic	Mean-HVG pseudobulk	unadjusted	225	0.35244450689120727	0.7012664147214897	0.9880059970014992
1	demographic	PCA pseudobulk	demographic	225	0.35244450689120727	0.7012664147214897	0.9715142428785607
1	demographic	PCA pseudobulk	unadjusted	225	0.35244450689120727	0.7012664147214897	0.9786773280026654
1	combined	Frozen Geneformer	combined	51	0.26449998008721604	0.6099975745071305	0.9076923076923077
1	combined	Frozen Geneformer	unadjusted	51	0.26449998008721604	0.6099975745071305	0.9123076923076923
1	combined	Mean-HVG pseudobulk	combined	51	0.26449998008721604	0.6099975745071305	0.8707692307692307
1	combined	Mean-HVG pseudobulk	unadjusted	51	0.26449998008721604	0.6099975745071305	0.9538461538461538
1	combined	PCA pseudobulk	combined	51	0.26449998008721604	0.6099975745071305	0.9307692307692308
1	combined	PCA pseudobulk	unadjusted	51	0.26449998008721604	0.6099975745071305	0.88
2	cell_yield	Frozen Geneformer	cell_yield	182	0.27617830223191286	0.6574586056471938	0.9560575968222443
2	cell_yield	Frozen Geneformer	unadjusted	182	0.27617830223191286	0.6574586056471938	0.971077457795432
2	cell_yield	Mean-HVG pseudobulk	cell_yield	182	0.27617830223191286	0.6574586056471938	0.9703326713008937
2	cell_yield	Mean-HVG pseudobulk	unadjusted	182	0.27617830223191286	0.6574586056471938	0.9843594836146972
2	cell_yield	PCA pseudobulk	cell_yield	182	0.27617830223191286	0.6574586056471938	0.9553128103277061
2	cell_yield	PCA pseudobulk	unadjusted	182	0.27617830223191286	0.6574586056471938	0.9663604766633566
2	qc_core	Frozen Geneformer	qc_core	156	0.23756089013108067	0.6582575430597346	0.952819332566168
2	qc_core	Frozen Geneformer	unadjusted	156	0.23756089013108067	0.6582575430597346	0.9771494328456354
2	qc_core	Mean-HVG pseudobulk	qc_core	156	0.23756089013108067	0.6582575430597346	0.9833963504849581
2	qc_core	Mean-HVG pseudobulk	unadjusted	156	0.23756089013108067	0.6582575430597346	0.9891500904159132
