source_dataset	target_dataset	n_source_train	method_id	auc_mean	auc_sd	auc_q025	auc_q500	auc_q975	n_evaluations
SLE_GSE285773_CD4	SLE_GSE174188_CD4	10	frozen_geneformer	0.8503242299538595	0.048695505162901886	0.7674055368499813	0.8599264247412396	0.9150953984287317	40
SLE_GSE285773_CD4	SLE_GSE174188_CD4	10	source_hvg_pseudobulk	0.8465145279960093	0.0460756789321119	0.7422340690859209	0.8522571392941762	0.9120728893877043	40
SLE_GSE285773_CD4	SLE_GSE174188_CD4	10	source_pca_pseudobulk	0.8422278338945006	0.04585162133549136	0.7432956104252401	0.852849482479112	0.9090316747724155	40
SLE_GSE285773_CD4	SLE_GSE174188_CD4	14	frozen_geneformer	0.8604408280334207	0.03310467581161608	0.7909636488340193	0.8687803965581742	0.9046218356403541	40
SLE_GSE285773_CD4	SLE_GSE174188_CD4	14	source_hvg_pseudobulk	0.8650720164609054	0.052335494898517666	0.7448388203017833	0.8822795859832897	0.9300364758698093	40
SLE_GSE285773_CD4	SLE_GSE174188_CD4	14	source_pca_pseudobulk	0.8625124703828406	0.04092375739396383	0.7906815064222472	0.8688739244294801	0.9196564409527371	40
SLE_GSE285773_CD4	SLE_GSE174188_CD4	18	frozen_geneformer	0.8557769048509789	0.03938985184969618	0.7736625514403291	0.8668786631749594	0.9061931038782891	40
SLE_GSE285773_CD4	SLE_GSE174188_CD4	18	source_hvg_pseudobulk	0.8835827409901483	0.032260092387096144	0.8158327098141912	0.8809078438708069	0.931157251527622	40
SLE_GSE285773_CD4	SLE_GSE174188_CD4	18	source_pca_pseudobulk	0.8795672777154259	0.033045398388767265	0.8149473126324979	0.881375483227335	0.928593029055992	40
SLE_GSE285773_CD4	SLE_GSE174188_CD4	22	frozen_geneformer	0.8719868437461029	0.027607140236168084	0.8139839755580497	0.8835889761815687	0.9021246414764933	40
SLE_GSE285773_CD4	SLE_GSE174188_CD4	22	source_hvg_pseudobulk	0.9066280084798602	0.024084160653048935	0.8549943883277217	0.9146090534979423	0.931921062476618	40
SLE_GSE285773_CD4	SLE_GSE174188_CD4	22	source_pca_pseudobulk	0.8966875545579249	0.028756423105850387	0.8457538346427234	0.9013280957725402	0.9354205636613044	40
SLE_GSE285773_CD4	SLE_GSE174188_CD4	26	frozen_geneformer	0.8839630876667914	0.0	0.8839630876667914	0.8839630876667914	0.8839630876667914	1
SLE_GSE285773_CD4	SLE_GSE174188_CD4	26	source_hvg_pseudobulk	0.9190672153635115	0.0	0.9190672153635115	0.9190672153635115	0.9190672153635115	1
SLE_GSE285773_CD4	SLE_GSE174188_CD4	26	source_pca_pseudobulk	0.9263000374111484	0.0	0.9263000374111484	0.9263000374111484	0.9263000374111484	1
