dim,mean,var,zero_frac
0,-0.008579343,0.0004927859,0.0
1,-0.05710596,0.00060520874,0.0
2,-0.17359306,0.0005104698,0.0
3,-0.16300042,0.00073857186,0.0
4,0.2986065,0.00038605003,0.0
5,-0.0013640412,0.00039964856,0.0
6,-0.030887818,0.0006102878,0.0
7,0.42611757,0.000650554,0.0
8,-0.22796825,0.0005916198,0.0
9,0.15188664,0.00033818884,0.0
10,-0.13020425,0.00079759845,0.0
11,0.031957842,0.00061819504,0.0
12,-0.136539,0.001141953,0.0
13,-0.4312886,0.0006243494,0.0
14,-0.124296755,0.0006244236,0.0
15,-0.030906286,0.00095721195,3.5536350132550586e-06
16,-0.05090018,0.0004960853,3.5536350132550586e-06
17,-0.12469064,0.00038768467,0.0
18,-0.029352415,0.00024561322,0.0
19,-0.013714602,0.0004174162,0.0
20,-0.11793097,0.00048426908,0.0
21,0.12545483,0.00083012646,0.0
22,-0.28121597,0.00042764598,0.0
23,-0.0056020287,0.00057762745,0.0
24,0.17754908,0.0006224232,0.0
25,0.07737103,0.0010074435,3.5536350132550586e-06
26,0.123855434,0.0009132372,0.0
27,-0.01649994,0.00043238967,0.0
28,0.05480508,0.0008331364,0.0
29,-0.20006448,0.00040361393,0.0
30,-0.036661927,0.0004843121,0.0
31,0.38506156,0.0003891506,0.0
32,-0.06424522,0.0008253473,0.0
33,-0.113011345,0.00032770753,0.0
34,-0.0419135,0.000523006,0.0
35,-0.0071068006,0.0005482012,0.0
36,-0.086340114,0.0018622804,0.0
37,0.112348504,0.00059685064,0.0
38,-0.0562744,0.00030251284,0.0
39,0.10401562,0.0014951804,0.0
40,-0.058185007,0.00050301966,0.0
41,-0.020046853,0.0010144518,0.0
42,-0.06989348,0.00045395954,0.0
43,-0.2806767,0.000764722,0.0
44,0.052047104,0.0012321832,0.0
45,1.3028427,0.0013118937,0.0
46,0.10161731,0.0003310119,0.0
47,0.018193914,0.00045946302,0.0
48,-0.079673424,0.00023867375,0.0
49,-0.17981192,0.0018319126,0.0
50,-0.033544213,0.0006424793,0.0
