KMeans,B,Monocyte,NK,T
0,4170,7865,6857,20722
1,6917,14967,11455,32872
2,1178,1028,1176,5219
3,3480,7509,2291,8813
4,3912,6185,6759,20223
5,2100,2230,3203,10409
6,4388,11332,7721,21037
7,4686,9723,7742,23233
