KMeans,B,Monocyte,NK,T
0,122,723,3244,63690
1,41,7486,442,239
2,190,2111,1874,68307
3,32,179,39454,8366
4,29536,542,516,818
5,881,575,902,810
6,6,23588,403,28
7,23,25635,369,270
